pose_id,timestamp_ms,target_tick_0,target_tick_1,target_tick_2,target_tick_3,target_tick_4,target_tick_5,target_tick_6,actual_tick_0,actual_tick_1,actual_tick_2,actual_tick_3,actual_tick_4,actual_tick_5,actual_tick_6,actual_rad_0,actual_rad_1,actual_rad_2,actual_rad_3,actual_rad_4,actual_rad_5,actual_rad_6,moving_camera_q0,moving_camera_qx,moving_camera_qy,moving_camera_qz,moving_camera_tx_mm,moving_camera_ty_mm,moving_camera_tz_mm,moving_camera_error,moving_camera_frame,moving_camera_visible_markers,moving_accepted_samples,fixed_camera_q0,fixed_camera_qx,fixed_camera_qy,fixed_camera_qz,fixed_camera_tx_mm,fixed_camera_ty_mm,fixed_camera_tz_mm,fixed_camera_error,fixed_camera_frame,fixed_camera_visible_markers,fixed_accepted_samples,moving_relative_fixed_q0,moving_relative_fixed_qx,moving_relative_fixed_qy,moving_relative_fixed_qz,moving_relative_fixed_tx_mm,moving_relative_fixed_ty_mm,moving_relative_fixed_tz_mm,moving_relative_fixed_error,moving_relative_fixed_frame,moving_relative_fixed_visible_markers
1,1784906502157,2079,2031,923,2518,3195,2140,2384,2080,2034,923,2516,3186,2138,2378,0.0490873852123,-0.0214757310304,-1.75334004055,0.625864161457,1.69965071298,0.13805827091,0.506213660002,0.509212041663,-0.484252427903,-0.489244458539,-0.516568042453,-61.7573865255,-181.340737915,-1972.05565186,0.147414169461,432976,4,30,0.140340253433,-0.460136056925,-0.345095265645,-0.805908605248,346.166664632,41.5855447133,-1831.31757406,0.412384295464,432976,4,30,0.879427526704,0.382367845905,-0.0455056430852,0.279877280501,80.7380623419,-120.880913575,-463.437736449,0.437940343543,432976,4
2,1784906512498,2195,1830,922,2489,3200,2262,2248,2193,1832,923,2490,3192,2259,2254,0.222427214243,-0.331339850183,-1.75334004055,0.585980660972,1.7088545977,0.323669946244,0.316000042304,0.500739047608,-0.55197357189,-0.428757705988,-0.510639218716,-77.3731155396,-154.346821594,-1860.8445638,0.108199821164,433597,4,30,0.140910765846,-0.460676277303,-0.345372226289,-0.805381616942,346.267997233,41.4471496582,-1831.17412109,0.412384339174,433597,4,30,0.884181096055,0.321852552337,-0.0967852105663,0.324449297964,184.237153889,-102.306830824,-417.465436023,0.426342637436,433597,4
3,1784906524337,2424,1900,923,2260,3178,2246,1821,2422,1897,922,2262,3188,2247,1827,0.573708814669,-0.231631098971,-1.75487402134,0.236233041334,1.70271867455,0.305262176789,-0.339009754123,0.496710843964,-0.498334273177,-0.51084839821,-0.493938461463,-71.4810155233,-157.371483358,-1798.25974935,0.142829605689,434308,4,30,0.141738158298,-0.461429481317,-0.345531152537,-0.80473682088,346.33855896,41.3300682068,-1830.98852539,0.398939798276,434308,4,30,0.874353508418,0.398991435053,-0.0738878113955,0.26618108197,232.589296809,-71.3561076307,-394.888846526,0.423737252209,434308,4
4,1784906535188,2539,1837,928,2003,3181,2285,1458,2537,1838,923,2009,3188,2288,1462,0.750116605276,-0.322135965456,-1.75334004055,-0.151864098001,1.70271867455,0.368155389093,-0.898912741701,0.545923977464,-0.486364051864,-0.514961111251,-0.447472986652,-56.0691584269,-121.358331045,-1720.82790934,0.132743303974,434962,4,30,0.142065902001,-0.461915734267,-0.345412108797,-0.80445112283,346.381096395,41.2971803029,-1830.96133219,0.405326648553,434962,4,30,0.840060340354,0.442773583386,-0.0691509568994,0.305725896155,292.398487636,-56.3834142798,-334.479339914,0.426509644413,434962,4
5,1784906545824,2800,1722,930,1935,3196,2342,1147,2797,1721,924,1937,3188,2343,1152,1.14895161013,-0.501611717639,-1.75180605977,-0.262310714728,1.70271867455,0.452524332426,-1.37444678595,0.561615468176,-0.54268420961,-0.45142639099,-0.431620351771,-41.1352269491,7.44282938639,-1652.64332682,0.16822715501,435598,4,30,0.141938045675,-0.462234158474,-0.344499678494,-0.804682015114,346.346724447,41.4585638682,-1831.04345703,0.390462467074,435598,4,30,0.833395161907,0.397131942749,-0.107776784758,0.368948355229,353.386093763,-111.845815817,-213.856778072,0.425160339021,435598,4
6,1784906556998,3091,1626,928,1882,3156,2483,665,3089,1622,925,1880,3159,2485,673,1.59687400019,-0.653475815639,-1.75027207898,-0.349747619638,1.6582332317,0.670349604306,-2.10922358334,0.645952067829,-0.516322348134,-0.313368435107,-0.46685906092,-12.3202711741,132.77805837,-1659.94838053,0.225335477789,436270,4,30,0.14081233469,-0.462131915639,-0.343593411415,-0.805325739424,346.298907471,41.7337782542,-1831.2166626,0.403370227416,436270,4,30,0.81321200269,0.317764480547,-0.022238471006,0.487049714086,343.537629331,-188.667536072,-112.321230144,0.462042874544,436270,4
7,1784906568013,3460,1981,916,1894,3158,2032,337,3459,1977,918,1891,3158,2033,342,2.16444689171,-0.10891263594,-1.76100994449,-0.332873830971,1.65669925092,-0.0230097118183,-2.61697122413,0.504154723622,-0.535705597178,-0.399032263905,-0.547376269274,-66.4216669718,203.681141663,-1756.68366699,0.165534550448,436933,4,30,0.139934937665,-0.462234736742,-0.343551440662,-0.805437563681,346.294302368,41.8447327932,-1831.28302816,0.38313849469,436933,4,30,0.896136113383,0.291417565179,-0.0610965586733,0.329063944417,297.82844288,-309.775162891,-132.015629143,0.417368893793,436933,4
8,1784906586457,3535,944,929,2120,2923,3096,544,3535,937,931,2103,2925,3094,537,2.28102943159,-1.70425265534,-1.74106819425,-0.00766990393943,1.29928172734,1.60454390413,-2.3178449705,0.591276219639,-0.382672345572,-0.330978148369,-0.628018927522,113.176606496,298.301246134,-1842.01247559,0.262085171541,438040,4,30,0.138099709756,-0.461866959539,-0.343116066026,-0.806150573458,346.127892049,42.2190722148,-1831.53519287,0.379244350394,438040,4,30,0.87824052584,0.271578850266,0.13873804595,0.368361590651,140.029840473,-316.179521405,19.3986781634,0.46099339957,438040,4
10,1784906619534,2720,1731,921,1684,3187,2938,1001,2721,1727,921,1687,3193,2962,992,1.03236907025,-0.492407832911,-1.75640800213,-0.6458059117,1.71038857849,1.40205844013,-1.61988371201,0.784460114421,-0.230157041097,-0.569018781613,-0.0887000083831,103.977166494,-106.016689301,-1655.58972168,0.194067866604,440026,4,30,0.142184482431,-0.462358052552,-0.344619045048,-0.804516201196,346.44717509,41.4522529602,-1831.03177897,0.397586014867,440026,4,30,0.485408319584,0.75719380745,0.0452803493079,0.434725190442,263.454544012,47.9536380208,-199.02477561,0.442421717444,440026,4
11,1784906630645,2722,1526,925,1686,3195,2498,1001,2721,1523,922,1686,3193,2501,992,1.03236907025,-0.80533991364,-1.75487402134,-0.647339892488,1.71038857849,0.694893296912,-1.61988371201,0.667418807833,-0.549549311818,-0.352051580872,-0.358618701738,34.4196318309,18.8172651927,-1597.17443441,0.222322128216,440695,4,30,0.142033242105,-0.462372978002,-0.344260442744,-0.804687849363,346.452150472,41.5114771525,-1831.03979899,0.375991370281,440695,4,30,0.758665953925,0.390375547738,-0.0966371898955,0.51253697975,360.884678105,-55.4083595947,-138.796583148,0.436802746351,440695,4
