pose_id,elapsed_ms,valid,tx_mm,ty_mm,tz_mm,error
0,0,1,75.4174,-116.643,-465.84,0.389283
0,287,1,75.0818,-116.396,-465.838,0.418357
0,574,1,75.0102,-116.226,-465.831,0.417598
0,849,1,75.8566,-116.166,-465.738,0.425861
0,1126,1,75.4882,-116.183,-465.783,0.417748
0,1402,1,75.3441,-116.155,-465.781,0.425577
0,1679,1,75.162,-116.129,-465.777,0.445948
0,1964,1,75.4427,-116.059,-465.758,0.438073
0,2252,1,75.849,-115.958,-465.711,0.456711
0,2526,1,75.0578,-116.134,-465.79,0.405713
0,2800,1,75.4966,-116.111,-465.768,0.416534
0,3082,1,76.5077,-115.81,-465.597,0.45267
0,3363,1,75.6957,-115.904,-465.712,0.437302
0,3650,1,75.5606,-115.999,-465.723,0.41589
0,3933,1,75.7021,-115.886,-465.703,0.431949
1,0,1,178.667,-95.6166,-421.836,0.404416
1,287,1,181.345,-94.8131,-420.155,0.388029
1,560,1,181.333,-94.9988,-420.134,0.413138
1,844,1,181.368,-94.9107,-420.11,0.393647
1,1127,1,181.609,-94.8552,-420.005,0.4079
1,1414,1,181.908,-94.6669,-419.93,0.434168
1,1693,1,181.259,-94.9201,-420.131,0.396814
1,1986,1,181.595,-94.8465,-420.006,0.415921
1,2260,1,181.351,-94.8695,-420.093,0.404946
1,2546,1,180.774,-94.9743,-420.289,0.39498
1,2823,1,181.073,-94.8956,-420.18,0.388554
1,3111,1,181.45,-94.8839,-420.025,0.388904
1,3393,1,182.131,-94.6468,-419.825,0.40899
1,3675,1,181.603,-94.8805,-419.962,0.389539
1,3957,1,181.541,-94.7532,-420.021,0.396476
2,0,1,231.782,-62.7535,-395.705,0.384143
2,290,1,231.883,-62.7427,-395.617,0.387482
2,571,1,231.871,-62.829,-395.605,0.404536
2,851,1,231.733,-62.9292,-395.655,0.360038
2,1137,1,232.64,-62.3682,-395.264,0.409975
2,1414,1,231.756,-62.7432,-395.684,0.36504
2,1703,1,231.933,-62.58,-395.611,0.389096
2,1987,1,232.089,-62.6978,-395.523,0.376214
2,2263,1,231.502,-62.7285,-395.798,0.366549
2,2544,1,231.971,-62.8605,-395.539,0.369548
2,2816,1,232.141,-62.6612,-395.49,0.40393
2,3104,1,231.719,-62.8223,-395.678,0.374262
2,3386,1,232.168,-62.7954,-395.452,0.35793
2,3667,1,231.895,-62.8606,-395.584,0.41661
2,3956,1,232.43,-62.5799,-395.336,0.425789
3,0,1,292.477,-46.9996,-333.942,0.379741
3,285,1,292.547,-47.3539,-333.788,0.394312
3,571,1,292.325,-47.0177,-334.007,0.425161
3,855,1,292.692,-47.3768,-333.691,0.389801
3,1128,1,292.847,-46.8765,-333.608,0.378648
3,1417,1,292.709,-47.0046,-333.735,0.390792
3,1689,1,292.718,-46.5634,-333.758,0.428642
3,1956,1,292.247,-46.9281,-334.082,0.384297
3,2238,1,292.558,-47.3046,-333.765,0.380402
3,2520,1,292.665,-46.9441,-333.747,0.378851
3,2790,1,293.363,-46.9299,-333.208,0.394888
3,3058,1,292.777,-46.9182,-333.699,0.38853
3,3345,1,292.525,-47.0068,-333.912,0.424313
3,3624,1,292.282,-47.0399,-334.034,0.357471
3,3906,1,292.127,-47.0841,-334.144,0.363727
4,0,1,354.165,-101.199,-213.933,0.414006
4,284,1,354.593,-102.605,-212.352,0.402172
4,568,1,355.386,-102.682,-211.128,0.437236
4,842,1,355.006,-102.742,-211.633,0.430986
4,1124,1,355.417,-102.386,-211.093,0.416287
4,1393,1,355.185,-102.75,-211.351,0.414792
4,1678,1,355.164,-102.598,-211.367,0.441687
4,1959,1,355.239,-102.917,-211.167,0.43601
4,2249,1,355.304,-102.693,-211.194,0.43569
4,2522,1,355.154,-103.132,-211.19,0.474941
4,2790,1,355.357,-102.315,-211.232,0.411092
4,3082,1,355.012,-102.944,-211.464,0.453122
4,3361,1,355.314,-103.198,-210.958,0.396668
4,3644,1,354.81,-103.096,-211.698,0.41241
4,3930,1,355.524,-102.495,-210.965,0.414844
5,0,1,346.3,-180.935,-108.81,0.437637
5,275,1,346.651,-180.619,-108.329,0.440148
