pose_id,tick_0,tick_1,tick_2,tick_3,tick_4,tick_5,tick_6
1,2079,2031,923,2518,3195,2140,2384
2,2195,1830,922,2489,3200,2262,2248
3,2424,1900,923,2260,3178,2246,1821
4,2539,1837,928,2003,3181,2285,1458
5,2800,1722,930,1935,3196,2342,1147
6,3091,1626,928,1882,3156,2483,665
7,3460,1981,916,1894,3158,2032,337
8,3535,944,929,2120,2923,3096,544
9,2725,1947,921,2011,3233,3176,999
10,2720,1731,921,1684,3187,2938,1001
11,2722,1526,925,1686,3195,2498,1001
12,2803,1526,937,1679,3244,2176,999
13,3030,1337,996,1703,2793,2165,383
14,3060,936,999,1707,2938,2195,414
15,3068,3142,1197,1950,2854,2211,951
16,3223,3172,1190,1892,2854,2487,951
17,3192,3172,1286,1895,2856,2897,952
18,3133,3228,1523,1913,2771,1191,1037
19,2895,3225,1527,1910,2770,1179,1038
20,2667,3111,1529,1528,2126,1632,785
21,2593,3220,1525,1136,2031,1799,787
22,2539,2994,1525,1014,2033,1716,831
23,2293,3231,1525,1006,2038,1936,1007
24,2202,3228,1525,830,1596,1330,1006
25,2200,2792,1233,829,1940,1990,1142
26,2208,2360,1266,1031,2597,2134,1144
27,2207,2332,1666,1366,2595,1493,1143
28,2323,2222,2090,988,2690,942,1144
29,2321,2194,2133,829,2381,1366,1146
30,2351,1945,2249,831,2372,1538,1144
31,2261,1684,2249,830,2047,1857,873
32,2190,1371,2249,833,1746,1864,573
33,1613,852,2211,2503,1358,2128,2834
34,1593,851,2207,1582,1362,2288,3532
35,1461,911,2105,2144,1039,2826,3527
36,1176,1077,2081,2345,1487,2930,3525
37,1158,1356,2080,3245,2021,2569,3303
38,1160,1801,2080,3273,2022,2759,3306
39,1135,1508,1853,3267,2129,1877,2979
40,1107,1679,1851,2898,2034,1795,2976
41,1107,1560,1850,2794,2032,1589,2976
42,1058,1106,1712,2989,1959,1988,3238
43,969,944,1713,3273,1818,2352,3240
44,968,852,1713,3272,1442,2557,3563
45,2233,853,991,2539,2168,2868,3028
46,2354,852,991,2911,2169,2917,3028
47,2383,852,991,3265,2179,2986,3027
48,3769,1886,1363,1423,1024,1698,512
49,3249,1885,1132,1420,1026,2130,337
