pose_id,tick_0,tick_1,tick_2,tick_3,tick_4,tick_5,tick_6
1,3206,3228,999,1061,1857,2013,3755
2,3150,3230,1273,1060,1858,1920,336
3,3093,3230,1395,1061,2041,1984,335
4,2975,3230,1464,1062,1926,2019,432
5,2834,3231,1464,1063,1948,2014,633
6,2620,3229,1464,936,1902,2033,853
7,2413,3229,1273,885,1886,2095,1027
8,2351,3229,1079,829,1875,2220,1015
9,2034,3227,1078,832,1925,2155,1017
10,1652,3228,1134,830,1868,2150,1505
11,1319,3228,1006,830,1872,2239,1705
12,870,3227,1007,831,1939,2270,2033
13,696,3227,1006,830,1937,2295,2345
14,695,3229,2518,830,2199,2172,3617
15,1222,3230,2508,830,2198,2171,3220
16,1540,3230,2915,901,2250,2143,3421
17,1911,3230,2913,1104,2231,2011,2997
18,2267,3230,2873,831,2183,2191,2459
19,2623,3231,2074,833,2035,2033,1510
20,2701,3231,1530,831,1957,2094,898
21,2840,3230,1314,831,1908,2164,499
22,2919,3230,1085,833,1908,2198,337
23,2901,3045,1110,1014,1014,1925,3754
24,2632,3230,1190,1063,1175,1516,338
25,2347,3228,1227,1063,1368,1157,338
26,2343,3035,1226,830,1694,1153,340
27,2129,2574,1398,834,2378,1099,1048
28,2041,2997,1540,830,2367,1036,1048
29,2008,2845,1952,829,2844,1348,1049
30,1976,3230,2474,829,2569,2122,2083
31,1961,3230,2913,834,3249,2871,2082
32,1656,3228,2963,830,2247,2203,3118
33,1710,3227,3225,850,2147,2262,3290
34,1617,3222,3309,1105,2938,1460,3755
35,1617,3222,3307,1634,3153,1304,335
36,1430,3222,3307,1947,3249,1562,544
37,761,2036,3318,1510,958,2044,3753
38,561,1856,3314,1339,966,2123,335
39,327,1856,3309,1219,973,2027,336
40,334,1686,3312,1252,955,2157,335
41,296,1696,2976,1252,957,2390,336
42,299,1354,2977,1625,956,2746,336
43,319,1310,2988,2416,1482,2784,3560
44,304,942,2342,3275,2191,1847,3564
45,300,851,2341,3272,1866,2353,3560
46,287,1896,3287,832,1024,1444,983
47,287,1651,3287,832,952,1968,983
48,287,852,929,3230,1912,2663,1251
49,2920,1986,3291,1922,952,2522,1353
50,2919,1983,3289,1921,954,2092,1352
51,2919,1981,3093,1908,981,1981,1354
52,2795,1811,3096,1908,988,1820,1309
53,2719,1546,3097,1908,965,2122,1305
54,2604,1415,3097,1912,955,2840,1304
55,2598,1019,3097,1907,961,2944,1517
56,2759,852,3216,2230,3189,2534,3258
57,2634,2137,922,2315,3188,1949,1649
58,2774,2040,930,2311,3188,2008,1539
59,2932,1728,932,2314,3189,2424,1317
60,3646,1897,927,2316,3168,2317,537
61,3755,1797,1305,2337,2825,2265,339
62,3759,1532,1291,1918,3249,2655,3614
63,3782,2103,927,836,3056,1992,2990
64,3782,2118,927,1253,3013,1944,3380
65,3746,2114,927,1804,3146,1919,3753
66,1763,1798,927,1246,3246,2050,1358
67,1667,1830,921,2038,3228,2134,2410
68,1457,1915,924,2730,3169,2246,3262
69,1085,2034,927,2796,3166,2211,3754
70,626,1990,2093,3275,2512,786,3754
71,577,2051,1997,3097,2344,1035,3550
72,628,2039,1849,2917,2373,1262,3465
73,696,2021,1727,2580,2607,1544,3467
74,696,1656,1662,2408,2700,2194,3704
75,813,1448,1798,2408,2525,2369,3443
76,1047,1251,1797,2410,2493,2600,3354
77,1261,1202,1797,2905,2247,2033,3157
78,1682,1075,1797,3111,1976,1933,2802
79,1458,852,1799,3272,2098,2814,3076
80,1202,851,1799,3257,1623,2879,3404
81,963,851,1799,3269,1363,2653,3725
82,709,852,1264,3272,1136,1971,3754
83,576,852,1028,3272,973,1606,3754
84,273,852,931,3147,1729,2938,1336
85,272,852,933,2698,1691,2876,1241
86,273,1381,929,2860,2330,2369,1240
87,273,1922,927,2726,2965,2349,337
88,273,1953,2127,2324,1959,1947,3754
89,273,1929,2316,2321,1895,1935,3754
90,273,1928,2469,2312,1866,1940,3754
91,273,1931,2659,2315,1870,1867,3754
92,273,1932,2764,2312,1612,2018,3754
93,273,1931,2950,2313,1408,2069,3754
94,273,1933,3062,2313,1348,2185,3430
95,322,1952,3159,2384,1267,2212,3655
96,323,1951,3315,2333,1221,2129,3511
97,283,1669,3306,2241,1133,2389,3635
98,285,1683,3079,2261,1259,2425,3633
99,285,1729,2836,2265,1518,2339,3632
100,283,1648,2727,2258,1526,2388,3636
101,283,1763,2463,2345,1697,2211,3550
102,283,1844,2317,2490,1809,1999,3549
103,285,1813,2066,2903,1811,1638,3648
104,285,1661,1875,3192,1812,1375,3752
105,284,1519,1636,3178,2198,1777,335
106,284,1738,1606,3102,2240,1611,336
107,283,1861,1373,2794,2671,2014,336
108,284,1980,1942,3276,1590,2901,2862
109,616,2047,1934,3269,1659,2932,3221
110,617,2037,1932,3244,1353,2904,3585
111,861,2038,1731,3236,1332,2591,3714
112,1954,1929,1840,3121,956,2513,957
113,2372,1930,1804,3224,1002,2627,1247
114,2629,2302,1718,2998,1222,2715,1460
115,2707,2483,1444,2890,1350,2302,1769
116,3129,2367,2460,2140,1546,1731,1035
117,3128,2534,2500,2141,1528,1549,1039
118,3128,2680,2499,2141,1526,1414,1038
119,3148,2836,2494,2137,1425,1274,1035
120,3274,2957,2469,2117,1393,1226,929
121,3416,3015,2438,2115,1377,1194,680
122,3594,3076,2437,2043,1373,1123,426
123,3612,2726,2439,1905,1377,1493,415
124,3640,2547,2435,1875,1608,1892,608
125,3645,2411,2409,1688,1615,2381,914
126,3645,2321,2254,1388,1616,2784,916
127,3645,2324,2178,1170,1614,2992,999
128,3641,2353,2028,1211,1795,2852,856
129,3599,2051,1140,1942,2919,2095,337
130,3578,2001,1010,1946,3058,2286,583
131,3550,1461,1022,2316,3056,2798,582
132,3254,1018,1006,2294,3056,3040,796
133,3243,910,1006,2092,3055,3139,797
134,3575,851,1104,2218,3056,3279,531
135,3618,888,1135,2119,3052,3235,336
136,3615,1094,1136,2267,3043,3096,337
137,3614,1289,1136,2446,3012,2935,337
138,3617,1575,1139,2845,2674,2586,869
139,3615,1592,1520,3121,2512,2257,984
140,3639,1711,2214,2884,2411,2006,338
141,3636,1894,2217,2897,2659,2287,706
142,3631,2090,2251,2897,2752,2611,680
143,3628,2309,2259,2874,2742,2525,779
144,3630,2511,2260,2865,2725,3095,778
145,3633,2528,2257,2560,2683,2562,778
146,3605,2654,2260,2413,2501,1589,934
147,3416,2673,2260,2094,2337,1525,932
148,3077,2650,2262,1774,2001,1890,935
149,3069,2515,2262,1589,1952,2070,1015
150,3069,2318,2255,1469,1873,2207,975
151,3069,2138,2210,1450,1866,2411,968
152,3069,1899,2156,1405,1860,2609,902
153,2949,1760,2004,1395,1861,3003,1304
154,2750,1705,1843,1421,1861,3122,1644
155,2642,1660,1662,1549,1865,3171,1905
156,2657,1883,1665,1929,1858,2861,1795
157,2657,1993,1513,2096,1858,2701,1852
158,2654,2059,1280,2162,1859,2551,2064
159,2653,2141,1108,2205,1857,2454,2064
