pose_id,tick_0,tick_1,tick_2,tick_3,tick_4,tick_5,tick_6
1,2706,3224,931,2200,956,1172,3368
2,2328,3224,932,2192,955,1116,3604
3,2247,3224,1108,2191,955,1096,3754
4,2194,3224,1224,2182,956,1082,3754
5,1954,3222,1331,2125,955,1216,412
6,1569,3225,1199,2114,952,1243,415
7,1196,3225,1203,2064,956,1252,911
8,933,3226,1201,2074,955,1186,912
9,722,3226,1201,2115,950,1275,1291
10,2866,3231,930,1004,1844,2084,337
11,2584,3224,931,926,1981,2162,395
12,2271,3226,931,877,1988,2257,575
13,1908,3225,931,830,1943,2314,1120
14,1610,3223,931,831,2031,2293,1463
15,1092,3225,937,1040,1878,2066,1935
16,766,3227,937,957,1897,2150,2224
17,756,3227,937,829,1932,2259,2189
18,829,3228,936,831,1117,2149,2188
19,1384,3221,934,956,1043,2555,2029
20,1812,3222,935,1139,1127,2948,2027
21,2139,3223,933,1242,1124,3178,2030
22,2357,3222,928,1226,1066,3224,2143
23,2384,3225,936,1159,1129,1414,337
24,2384,3226,1137,1223,1271,1126,338
25,1838,3228,1138,1318,1365,882,568
26,1386,3226,932,1274,1517,755,428
27,655,3226,934,1071,2096,1914,2043
28,625,3227,936,1032,2240,2061,2039
29,627,3230,934,989,2573,2081,2040
30,922,3230,1407,829,2149,2369,2451
31,946,3019,1405,1035,1957,2118,2418
32,1091,3007,1290,981,1856,2173,2173
33,1102,3095,1241,897,1634,2224,2148
34,1219,3103,1045,897,1455,2441,2079
35,1374,3081,998,1024,1763,2366,1638
36,1399,2865,996,1070,2092,2201,1522
37,1494,2842,924,1233,1937,2102,1520
38,1527,2849,924,1460,1905,1881,1519
39,1526,3140,924,1399,1739,1869,1399
40,1676,3222,925,1347,1617,2416,1400
41,1944,3222,927,1337,1515,2854,1621
42,2115,3221,929,1353,1348,3102,1823
43,2300,3222,927,1424,1205,3186,2266
44,2361,3075,925,1821,962,2869,2612
45,2307,2139,922,1283,954,1208,2903
46,2200,2141,929,1371,954,967,2907
47,2167,2138,927,1661,963,872,2907
