pose_id,test_joint_id,pose_index_in_test,tick_0,tick_1,tick_2,tick_3,tick_4,tick_5,tick_6
1,0,1,1418,2056,2048,2062,2124,2105,2976
2,0,2,1032,2055,2048,2062,2124,2105,2977
3,0,3,819,2056,2048,2062,2124,2105,2977
4,0,4,1028,2056,2048,2062,2124,2105,2977
5,1,1,1029,1698,2049,2062,2123,2101,2977
6,1,2,1026,2020,2048,2062,2124,2105,2976
7,1,3,1024,2320,2050,2067,2125,2112,2977
8,1,4,1026,2022,2048,2062,2124,2103,2977
9,2,1,1029,2026,2343,2065,2125,2105,2977
10,2,2,1027,2020,2067,2063,2125,2105,2977
11,2,3,1029,2020,1816,2063,2123,2105,2977
12,2,4,1028,2020,2064,2063,2125,2104,2977
13,3,1,945,2075,2041,1435,2060,2062,2975
14,3,2,946,2073,2041,2022,2059,2063,2977
15,3,3,943,2068,2044,2501,2059,2069,2978
16,3,4,946,2073,2041,2025,2058,2062,2978
17,4,1,946,2070,2044,2023,1710,2062,2979
18,4,2,946,2071,2042,2023,2048,2062,2979
19,4,3,946,2074,2043,2024,2282,2067,2978
20,4,4,945,2067,2043,2021,2053,2053,2979
21,5,1,946,2072,2041,2025,2054,1234,2979
22,5,2,944,2072,2041,2024,2053,2109,2979
23,5,3,945,2068,2043,2022,2054,2905,2979
24,5,4,946,2073,2041,2025,2053,2108,2979
25,6,1,946,2070,2041,2024,2053,2104,2735
26,6,2,946,2069,2041,2023,2053,2102,3081
27,6,3,946,2069,2043,2023,2053,2103,3403
28,6,4,946,2070,2040,2023,2053,2104,3085
