pose_id,tick_0,tick_1,tick_2,tick_3,tick_4,tick_5,tick_6
1,488,1862,1323,3274,952,2321,3383
2,561,1861,1322,3274,953,2304,3447
3,629,1862,1323,3264,952,2279,3491
4,698,1863,1323,3179,953,2275,3652
5,759,1865,1322,3167,952,2257,3738
6,769,1866,1244,3124,968,2164,3754
7,766,1861,1264,3129,1002,2253,3732
8,691,1874,1266,3191,997,2266,3575
9,606,1878,1265,3191,979,2304,3507
10,518,1879,1265,3191,993,2304,3435
11,417,1879,1265,3191,974,2313,3370
12,395,1948,1275,3190,1021,2257,3299
13,474,1949,1274,3190,1016,2250,3362
14,551,1950,1270,3190,1014,2201,3449
15,625,1946,1266,3190,1012,2214,3502
16,690,1947,1266,3188,1016,2192,3554
17,745,1945,1222,3188,1014,2152,3655
18,614,1957,1281,3122,1023,2246,3615
19,547,1958,1278,3122,1023,2268,3565
20,480,1958,1278,3122,1020,2284,3502
21,414,1961,1278,3124,1021,2280,3450
22,414,1936,1221,3145,1022,2210,3392
23,454,1935,1208,3145,1022,2186,3440
24,513,1938,1208,3145,1023,2206,3495
25,564,1937,1208,3145,1023,2202,3555
26,616,1934,1209,3145,1023,2212,3589
27,685,1934,1211,3140,1024,2227,3666
28,738,1936,1210,3141,1023,2215,3702
29,781,1946,1211,3138,1027,2211,3753
30,763,1963,1231,3138,1058,2217,3754
31,756,1985,1232,3137,1103,2254,3754
32,693,1985,1231,3139,1120,2269,3693
33,643,1986,1231,3141,1118,2279,3634
34,593,1988,1217,3141,1113,2269,3583
35,521,1983,1214,3140,1091,2291,3467
36,455,1984,1213,3140,1097,2304,3407
37,393,1984,1213,3139,1091,2321,3359
38,396,1988,1198,3141,1066,2198,3392
39,472,1927,1198,3140,1022,2206,3462
40,552,1927,1199,3140,1023,2199,3543
41,618,1925,1198,3137,996,2192,3575
42,675,1926,1198,3130,999,2176,3651
43,746,1928,1198,3129,997,2169,3703
44,813,1932,1182,3128,997,2178,3753
45,704,1954,1183,3093,1054,2174,3746
46,622,1953,1200,3090,1067,2239,3658
47,519,1955,1200,3091,1056,2259,3593
48,469,1954,1201,3090,1077,2277,3533
49,429,1954,1200,3090,1057,2293,3476
50,719,1825,1144,3010,993,2087,3753
51,719,1824,1143,3010,1014,2136,3753
52,719,1800,1101,3010,1017,2129,3753
53,719,1866,1134,3013,1062,2209,3753
54,671,1921,1147,3019,1074,2207,3753
55,662,1967,1161,3019,1094,2272,3753
56,600,1985,1196,3021,1094,2271,3753
57,539,1986,1204,3010,1095,2280,3706
58,464,1995,1204,3010,1095,2253,3608
59,407,2025,1217,2999,1102,2197,3492
60,474,2024,1217,2993,1054,2188,3595
61,563,1992,1216,2991,1038,2213,3718
62,619,1957,1197,2991,991,2171,3754
63,617,1955,1192,2993,1002,2207,3694
64,620,1932,1190,2991,956,2145,3754
65,718,1927,1182,2989,957,2135,3755
66,716,1926,1133,2993,991,2172,3755
67,714,1915,1104,2994,993,2182,3754
68,707,1966,1130,3026,1072,2242,3754
69,588,1988,1129,3056,1072,2232,3753
70,588,1989,1127,3056,1115,2212,3753
