x,y,z,roll,pitch,yaw
0.25,-0.08,0.2,0.0,0.0,0.0
0.25,-0.04,0.2,0.0,0.0,0.0
0.25,0.0,0.2,0.0,0.0,0.0
0.25,0.04,0.2,0.0,0.0,0.0
0.25,0.08,0.2,0.0,0.0,0.0
0.28,-0.08,0.2,0.0,0.0,0.0
0.28,-0.04,0.2,0.0,0.0,0.0
0.28,0.0,0.2,0.0,0.0,0.0
0.28,0.04,0.2,0.0,0.0,0.0
0.28,0.08,0.2,0.0,0.0,0.0
0.31,-0.08,0.2,0.0,0.0,0.0
0.31,-0.04,0.2,0.0,0.0,0.0
0.31,0.0,0.2,0.0,0.0,0.0
0.31,0.04,0.2,0.0,0.0,0.0
0.31,0.08,0.2,0.0,0.0,0.0
0.34,-0.08,0.2,0.0,0.0,0.0
0.34,-0.04,0.2,0.0,0.0,0.0
0.34,0.0,0.2,0.0,0.0,0.0
0.34,0.04,0.2,0.0,0.0,0.0
0.34,0.08,0.2,0.0,0.0,0.0
