point_index,target_tx_mm,target_ty_mm,target_tz_mm,before_tx_mm,before_ty_mm,before_tz_mm,after_tx_mm,after_ty_mm,after_tz_mm,commanded_delta_ndi_mm_x,commanded_delta_ndi_mm_y,commanded_delta_ndi_mm_z,achieved_delta_ndi_mm_x,achieved_delta_ndi_mm_y,achieved_delta_ndi_mm_z,error_mm
0,-120.008,-252.773,106.204,30.6158,-232.034,-20.5346,-120.719,-247.795,105.704,-150.623,-20.739,126.739,-151.335,-15.7608,126.239,5.05364
2,10.076,-247.667,102.766,-120.814,-247.727,105.728,12.2365,-243.146,106.644,130.89,0.0601473,-2.96193,133.051,4.58117,0.91632,6.33626
3,-90.6704,-249.775,146.266,12.2598,-243.124,106.645,-92.2213,-242.805,145.669,-102.93,-6.65128,39.6209,-104.481,0.319013,39.024,7.16565
4,9.98044,-206.543,179.663,-92.2595,-242.819,145.671,8.82987,-201.157,182.729,102.24,36.2763,33.9921,101.089,41.6618,37.0574,6.30266
6,-50.0343,-243.157,116.254,8.97002,-201.012,182.738,-53.0038,-239.234,117.71,-59.0044,-42.145,-66.4837,-61.9738,-38.2217,-65.0276,5.13127
7,-115.332,-248.959,137.147,-53.0348,-239.203,117.669,-115.984,-242.456,136.478,-62.2971,-9.75567,19.4777,-62.9488,-3.25281,18.8083,6.56962
8,-134.488,-270.929,165.968,-116.021,-242.454,136.47,-136.322,-261.895,164.686,-18.4668,-28.4752,29.4981,-20.3006,-19.4407,28.216,9.30741
9,-51.4326,-249.078,180.232,-135.986,-261.73,164.765,-53.5268,-243.47,185.073,84.5535,12.6523,15.4662,82.4594,18.2603,20.3081,7.69923
10,-9.14623,-252.477,94.6274,-53.4966,-243.449,185.071,-9.39473,-250.809,97.8169,44.3504,-9.02889,-90.4438,44.1019,-7.36011,-87.2543,3.60825
12,-74.1172,-291.806,112.069,-9.41274,-250.8,97.7814,-76.1406,-283.478,112.564,-64.7044,-41.006,14.2875,-66.7279,-32.6777,14.7825,8.58489
13,4.42379,-259.331,139.066,-76.1808,-283.479,112.533,4.36545,-254.443,143.502,80.6046,24.1476,26.5336,80.5463,29.0355,30.969,6.60058
15,-57.7404,-236.959,119.311,4.35992,-254.149,143.449,-58.7447,-234.714,122.056,-62.1003,17.1903,-24.1372,-63.1046,19.4357,-21.3927,3.68538
16,-85.5803,-277.238,130.383,-58.7918,-234.701,122.038,-86.9276,-268.858,130.13,-26.7884,-42.5363,8.34543,-28.1358,-34.1568,8.0919,8.49084
17,-104.099,-238.04,83.1385,-86.9061,-268.768,130.002,-105.713,-235.657,87.3183,-17.1926,30.728,-46.8639,-18.8071,33.1111,-42.6842,5.07507
19,-30.9836,-229.388,132.514,-105.756,-235.609,87.2909,-31.8012,-224.99,134.182,74.7725,6.22113,45.2228,73.9548,10.6189,46.8912,4.77417
20,-90.2062,-237.333,152.739,-31.7258,-224.887,134.056,-90.3902,-231.097,152.252,-58.4804,-12.4457,18.6826,-58.6644,-6.21049,18.1957,6.25694
21,-98.4052,-276.381,79.0466,-90.4929,-231.068,152.286,-100.803,-267.504,82.425,-7.91232,-45.3126,-73.2394,-10.3098,-36.436,-69.861,9.7957
22,21.8121,-238.542,146.132,-100.849,-267.481,82.3933,20.6585,-233.628,151.033,122.661,28.9394,63.7391,121.508,33.8534,68.6395,7.03505
23,-14.1377,-243.263,183.11,20.7708,-233.715,150.969,-16.5544,-235.424,182.589,-34.9085,-9.54876,32.1414,-37.3251,-1.70917,31.6204,8.22013
24,-81.805,-260.067,148.565,-16.5893,-235.467,182.617,-82.7008,-255.16,149.78,-65.2157,-24.5997,-34.0522,-66.1114,-19.6933,-32.8371,5.13337
25,-91.8506,-263.536,77.2405,-82.7446,-255.172,149.737,-94.9511,-261.529,81.8842,-9.10601,-8.36351,-72.4967,-12.2065,-6.35713,-67.8529,5.93321
26,48.9808,-223.063,97.6337,-95.0069,-261.498,81.8232,50.8594,-220.793,103.646,143.988,38.4351,15.8105,145.866,40.7052,21.8226,6.69534
27,32.7463,-198.142,153.948,50.8533,-220.749,103.597,28.932,-197.165,155.295,-18.107,22.6075,50.3504,-21.9213,23.5836,51.6973,4.16121
28,-37.9509,-212.755,170.697,28.9367,-197.137,155.305,-38.0982,-206.974,169.827,-66.8876,-15.617,15.392,-67.035,-9.83661,14.5226,5.84732
29,-85.611,-230.204,151.7,-38.1681,-207.011,169.844,-86.1067,-226.176,152.98,-47.4429,-23.1926,-18.1444,-47.9386,-19.1647,-16.8641,4.25545
30,-124.838,-242.385,132.02,-86.1576,-226.173,152.951,-124.718,-237.318,133.298,-38.6802,-16.2124,-20.9312,-38.5605,-11.1446,-19.6532,5.22785
31,-63.063,-232.171,121.243,-124.693,-237.224,133.186,-66.6082,-228.773,125.589,61.6295,5.05343,-11.9432,58.0843,8.45107,-7.59705,6.55751
32,-51.1144,-236.132,175.39,-66.2732,-228.637,125.719,-53.4295,-229.337,174.852,15.1589,-7.49529,49.6703,12.8437,-0.700458,49.1331,7.19849
