pose_id,tick_0,tick_1,tick_2,tick_3,tick_4,tick_5,tick_6
1,964,1912,2018,3277,2089,2990,3078
2,1463,2150,2011,3273,2093,2734,3524
3,1279,2152,2010,3276,2094,2721,3347
4,1023,2150,2009,3277,2095,2736,3095
5,596,2156,2010,3277,2091,2851,2728
6,671,2315,2013,3277,2083,2576,2734
7,901,2395,2012,3199,2086,2640,2935
8,1169,2401,2011,3193,2084,2551,3230
9,1171,2537,2012,3232,2083,2397,3235
10,1043,2610,2010,3231,2095,2258,3105
11,932,2745,2009,3232,2098,2165,2985
12,972,2822,2011,3229,2090,2138,2991
13,970,2633,2011,3216,2091,2336,2990
14,972,2457,2012,3172,2091,2585,2991
15,969,2273,2012,3153,2091,2753,2992
16,972,2069,2012,3232,2087,2803,3059
17,980,1907,2013,3277,2086,2974,3059
18,619,2204,2011,3276,2094,2702,2636
19,1072,2253,2011,3276,2085,2710,3157
20,1254,2252,2012,3275,2085,2703,3332
21,1236,2035,2012,3214,2092,2863,3325
22,961,1999,2011,3217,2094,2717,2986
23,963,1790,2012,3272,2092,2926,2987
24,957,1972,2009,3277,2095,2957,2989
25,957,2018,2010,3276,2095,2695,2990
26,957,2063,2010,3276,2095,2654,2990
27,957,2065,2010,3276,2095,2654,2990
28,957,2067,2010,3276,2095,2654,2990
29,958,2070,2010,3276,2095,2657,2990
30,958,2072,2010,3276,2095,2662,2990
31,957,2074,2010,3276,2095,2668,2990
32,958,2077,2010,3276,2095,2673,2990
33,958,2079,2010,3276,2095,2677,2990
34,957,2081,2010,3276,2094,2678,2989
35,938,2143,2009,3276,2095,2726,2987
36,714,2178,2009,3277,2094,2759,2878
37,718,2313,2012,3275,2085,2573,2880
38,723,1939,2013,3066,2087,3198,2886
39,1154,1955,2012,3276,2085,2833,3277
40,1117,2128,2012,3276,2091,2668,3275
41,924,2251,2011,3276,2090,2569,3026
42,915,2058,2012,3252,2091,2848,3028
43,916,1806,2013,3262,2090,3050,3027
44,916,1800,2012,3276,2091,3107,3028
45,916,1891,2011,3276,2091,3011,3027
