tick_0,tick_1,tick_2,tick_3,tick_4,tick_5,tick_6,predicted_x_mm,predicted_y_mm,predicted_z_mm
964,1912,2018,3277,2089,2990,3078,0.0,0.0,0.0
1463,2150,2011,3273,2093,2734,3524,0.0,0.0,0.0
1279,2152,2010,3276,2094,2721,3347,0.0,0.0,0.0
1023,2150,2009,3277,2095,2736,3095,0.0,0.0,0.0
596,2156,2010,3277,2091,2851,2728,0.0,0.0,0.0
671,2315,2013,3277,2083,2576,2734,0.0,0.0,0.0
901,2395,2012,3199,2086,2640,2935,0.0,0.0,0.0
1169,2401,2011,3193,2084,2551,3230,0.0,0.0,0.0
1171,2537,2012,3232,2083,2397,3235,0.0,0.0,0.0
1043,2610,2010,3231,2095,2258,3105,0.0,0.0,0.0
932,2745,2009,3232,2098,2165,2985,0.0,0.0,0.0
972,2822,2011,3229,2090,2138,2991,0.0,0.0,0.0
970,2633,2011,3216,2091,2336,2990,0.0,0.0,0.0
972,2457,2012,3172,2091,2585,2991,0.0,0.0,0.0
969,2273,2012,3153,2091,2753,2992,0.0,0.0,0.0
972,2069,2012,3232,2087,2803,3059,0.0,0.0,0.0
980,1907,2013,3277,2086,2974,3059,0.0,0.0,0.0
619,2204,2011,3276,2094,2702,2636,0.0,0.0,0.0
1072,2253,2011,3276,2085,2710,3157,0.0,0.0,0.0
1254,2252,2012,3275,2085,2703,3332,0.0,0.0,0.0
1236,2035,2012,3214,2092,2863,3325,0.0,0.0,0.0
961,1999,2011,3217,2094,2717,2986,0.0,0.0,0.0
963,1790,2012,3272,2092,2926,2987,0.0,0.0,0.0
957,1972,2009,3277,2095,2957,2989,0.0,0.0,0.0
957,2018,2010,3276,2095,2695,2990,0.0,0.0,0.0
957,2063,2010,3276,2095,2654,2990,0.0,0.0,0.0
957,2065,2010,3276,2095,2654,2990,0.0,0.0,0.0
957,2067,2010,3276,2095,2654,2990,0.0,0.0,0.0
958,2070,2010,3276,2095,2657,2990,0.0,0.0,0.0
958,2072,2010,3276,2095,2662,2990,0.0,0.0,0.0
