pose_id,tick_0,tick_1,tick_2,tick_3,tick_4,tick_5,tick_6
1,276,2036,1392,3275,1236,2395,3051
2,276,2009,1392,3276,1162,2402,3090
3,276,1971,1324,3276,1082,2342,3119
4,276,1964,1323,3276,1047,2322,3145
5,276,1927,1307,3275,1022,2292,3149
6,276,1868,1301,3276,955,2295,3184
7,391,1864,1255,3276,950,2236,3275
8,395,1862,1324,3274,950,2304,3328
9,488,1862,1323,3274,952,2321,3383
10,561,1861,1322,3274,953,2304,3447
11,629,1862,1323,3264,952,2279,3491
12,698,1863,1323,3179,953,2275,3652
13,759,1865,1322,3167,952,2257,3738
14,770,1866,1268,3163,951,2176,3754
15,769,1866,1244,3124,968,2164,3754
16,766,1861,1264,3129,1002,2253,3732
17,691,1874,1266,3191,997,2266,3575
18,606,1878,1265,3191,979,2304,3507
19,518,1879,1265,3191,993,2304,3435
20,417,1879,1265,3191,974,2313,3370
21,340,1879,1265,3191,987,2309,3291
22,284,1878,1259,3191,1001,2329,3224
23,281,1876,1219,3192,1022,2266,3180
24,282,1944,1276,3191,1071,2285,3179
25,327,1946,1275,3191,1033,2263,3235
26,395,1948,1275,3190,1021,2257,3299
27,474,1949,1274,3190,1016,2250,3362
28,551,1950,1270,3190,1014,2201,3449
29,625,1946,1266,3190,1012,2214,3502
30,690,1947,1266,3188,1016,2192,3554
31,745,1945,1222,3188,1014,2152,3655
32,614,1957,1281,3122,1023,2246,3615
33,547,1958,1278,3122,1023,2268,3565
34,480,1958,1278,3122,1020,2284,3502
35,414,1961,1278,3124,1021,2280,3450
36,363,1960,1278,3124,1021,2288,3400
37,314,1961,1276,3125,1022,2293,3347
38,287,1958,1270,3128,1027,2290,3279
39,282,1933,1247,3156,1049,2304,3255
40,325,1935,1233,3156,1044,2244,3299
41,366,1936,1232,3149,1024,2219,3338
42,414,1936,1221,3145,1022,2210,3392
43,454,1935,1208,3145,1022,2186,3440
44,513,1938,1208,3145,1023,2206,3495
45,564,1937,1208,3145,1023,2202,3555
46,616,1934,1209,3145,1023,2212,3589
47,685,1934,1211,3140,1024,2227,3666
48,738,1936,1210,3141,1023,2215,3702
49,781,1946,1211,3138,1027,2211,3753
50,763,1963,1231,3138,1058,2217,3754
51,756,1985,1232,3137,1103,2254,3754
52,693,1985,1231,3139,1120,2269,3693
53,643,1986,1231,3141,1118,2279,3634
54,593,1988,1217,3141,1113,2269,3583
55,521,1983,1214,3140,1091,2291,3467
56,455,1984,1213,3140,1097,2304,3407
57,393,1984,1213,3139,1091,2321,3359
58,301,1984,1211,3142,1085,2301,3307
59,283,1985,1209,3142,1099,2257,3255
60,324,1988,1206,3142,1068,2226,3331
61,396,1988,1198,3141,1066,2198,3392
62,472,1927,1198,3140,1022,2206,3462
63,552,1927,1199,3140,1023,2199,3543
64,618,1925,1198,3137,996,2192,3575
65,675,1926,1198,3130,999,2176,3651
66,746,1928,1198,3129,997,2169,3703
67,813,1932,1182,3128,997,2178,3753
68,704,1954,1183,3093,1054,2174,3746
69,622,1953,1200,3090,1067,2239,3658
70,519,1955,1200,3091,1056,2259,3593
71,469,1954,1201,3090,1077,2277,3533
72,429,1954,1200,3090,1057,2293,3476
73,343,1957,1200,3093,1073,2264,3382
74,294,1954,1171,3093,1062,2261,3309
75,290,1934,1118,3093,1051,2193,3309
76,343,1934,1120,3090,1056,2172,3372
77,344,1897,1140,3090,1009,2180,3416
78,344,1831,1146,3091,952,2127,3418
79,426,1830,1145,3092,948,2110,3543
80,492,1830,1145,3092,948,2129,3574
81,575,1829,1147,3088,949,2118,3682
82,622,1827,1146,3089,950,2061,3683
83,623,1827,1147,3088,949,2037,3651
84,676,1826,1146,3013,951,2102,3753
85,721,1827,1146,3011,950,2113,3753
86,719,1825,1144,3010,993,2087,3753
87,719,1824,1143,3010,1014,2136,3753
88,719,1800,1101,3010,1017,2129,3753
89,719,1866,1134,3013,1062,2209,3753
90,671,1921,1147,3019,1074,2207,3753
91,662,1967,1161,3019,1094,2272,3753
92,600,1985,1196,3021,1094,2271,3753
93,539,1986,1204,3010,1095,2280,3706
94,464,1995,1204,3010,1095,2253,3608
95,365,1996,1204,3010,1095,2231,3547
96,305,1997,1204,3010,1097,2216,3500
97,287,2040,1189,3012,1166,2214,3441
98,338,2040,1158,3011,1142,2141,3492
99,407,2025,1217,2999,1102,2197,3492
100,474,2024,1217,2993,1054,2188,3595
101,563,1992,1216,2991,1038,2213,3718
102,619,1957,1197,2991,991,2171,3754
103,617,1955,1192,2993,1002,2207,3694
104,620,1932,1190,2991,956,2145,3754
105,718,1927,1182,2989,957,2135,3755
106,716,1926,1133,2993,991,2172,3755
107,714,1915,1104,2994,993,2182,3754
108,707,1966,1130,3026,1072,2242,3754
109,588,1988,1129,3056,1072,2232,3753
110,588,1989,1127,3056,1115,2212,3753
111,590,1988,1127,3055,1051,2139,3711
112,607,1988,1128,3000,1045,2120,3715
113,613,1989,1129,2995,1008,2084,3716
114,620,1956,1133,2932,966,2110,3755
115,620,1898,1133,2922,954,2076,3756
116,619,1896,1098,2921,957,2135,3753
117,618,1895,1097,2921,1015,2127,3753
118,618,1895,1073,2923,1017,2143,3713
119,582,1980,1073,2932,1016,2256,3713
120,581,1979,1040,2941,1052,2239,3709
121,583,1979,1040,2940,1055,2139,3710
122,584,1981,1041,2938,1047,2048,3714
123,617,1973,1065,2937,1013,2003,3753
124,683,1971,1037,2917,1012,1975,3755
125,551,1932,1109,2918,1009,2136,3755
126,550,1920,1110,2993,1009,2157,3754
127,551,1847,1080,3145,1007,2078,3637
128,555,1845,1084,3137,953,2075,3572
129,556,1847,1115,3126,951,2081,3572
130,556,1847,1160,3126,951,2147,3572
131,662,1846,1166,3126,953,2163,3678
132,717,1849,1192,3087,951,2168,3755
133,802,1848,1191,3089,952,2164,3755
134,800,1848,1190,3087,995,2098,3755
135,799,1949,1220,3087,1013,2190,3754
136,716,1972,1220,3088,1083,2275,3754
137,609,1982,1219,3090,1105,2280,3667
138,519,1985,1219,3090,1093,2303,3584
139,441,1984,1205,3090,1070,2288,3508
140,440,1893,1139,3091,989,2206,3438
141,451,1814,1142,3089,951,2168,3486
142,520,1811,1141,3089,949,2142,3573
143,593,1811,1140,3086,949,2126,3650
144,673,1811,1140,3086,948,2136,3728
145,752,1809,1142,3086,950,2114,3754
146,737,1944,1360,3008,955,2315,3753
147,703,1946,1325,3010,978,2311,3753
148,652,1950,1318,3022,995,2304,3753
149,572,1950,1305,3032,997,2301,3753
150,534,1993,1269,2990,1000,2294,3753
151,463,1994,1271,2981,999,2291,3753
152,379,2020,1268,2907,998,2278,3753
153,295,2021,1235,2866,998,2266,3752
154,291,2067,1247,2792,1008,2243,3753
155,294,2021,1247,2792,958,2207,3753
156,281,2049,1197,2878,1042,2199,3753
157,282,1982,1178,2992,1040,2343,3529
158,282,1982,1166,2992,1055,2300,3529
159,282,1981,1164,2992,1062,2224,3541
160,282,1946,1167,2992,1056,2187,3555
161,285,1939,1167,2993,973,2156,3550
162,286,1903,1166,2992,955,2183,3554
163,285,1899,1166,2992,952,2221,3555
164,339,1901,1149,2990,944,2228,3555
165,407,1903,1146,2990,945,2147,3648
166,458,1902,1146,2989,944,2137,3658
167,521,1903,1145,2989,944,2141,3717
168,551,1901,1145,2989,947,2048,3753
169,614,1904,1144,2990,945,2057,3755
170,707,1903,1144,2990,945,2084,3755
171,709,1897,1090,2990,999,2043,3753
172,695,1789,1083,3185,995,2060,3649
173,696,1909,1140,3185,1085,2227,3660
174,693,1913,1058,3213,1137,2112,3661
175,695,1906,1060,3215,1012,2042,3662
176,695,1893,1063,3212,1006,1979,3720
177,696,1869,1065,3205,954,1950,3719
178,702,1865,1066,3177,951,1918,3753
179,786,1864,1064,3115,951,1968,3754
180,789,1863,1028,3116,998,1962,3753
181,789,1865,1008,3115,1066,1992,3753
182,785,1865,952,3116,1084,1977,3753
183,788,1777,970,3116,955,1870,3754
184,820,1775,970,3111,948,1834,3754
185,822,1652,946,2959,950,1913,3753
186,810,1848,929,2992,1005,1989,3751
187,761,1853,927,2991,1049,2011,3753
188,733,1852,925,2991,1051,2028,3751
189,653,1853,923,3062,1046,1978,3628
190,599,1855,922,3168,1045,1982,3462
191,527,1876,922,3187,1093,1911,3435
192,485,1888,922,3189,1086,1972,3357
193,435,1904,922,3189,1127,1896,3357
194,424,1911,923,3190,1039,1965,3309
195,426,1907,925,3190,961,1885,3330
196,428,1861,933,3187,955,1866,3340
197,428,1861,934,3170,955,1830,3374
198,533,1860,934,3107,954,1884,3469
199,550,1860,935,3087,953,1842,3582
200,603,1859,943,3087,954,1866,3614
