tick_0,tick_1,tick_2,tick_3,tick_4,tick_5,tick_6,predicted_x_mm,predicted_y_mm,predicted_z_mm
740,2009,2012,3276,2093,2870,2775,0.0,0.0,0.0
807,2004,2013,3276,2087,2882,2888,0.0,0.0,0.0
908,1980,2013,3276,2087,2912,2957,0.0,0.0,0.0
1000,1982,2012,3276,2086,2905,3045,0.0,0.0,0.0
1103,1980,2012,3276,2087,2917,3140,0.0,0.0,0.0
1193,1988,2013,3276,2085,2887,3254,0.0,0.0,0.0
1302,2004,2012,3276,2085,2879,3355,0.0,0.0,0.0
1380,2013,2012,3276,2084,2834,3470,0.0,0.0,0.0
1475,2021,2012,3276,2086,2813,3531,0.0,0.0,0.0
1557,2092,2012,3260,2086,2781,3609,0.0,0.0,0.0
1677,2112,2012,3190,2087,2837,3718,0.0,0.0,0.0
1603,2111,2011,3214,2094,2779,3632,0.0,0.0,0.0
1543,2106,2011,3240,2095,2795,3575,0.0,0.0,0.0
1461,2082,2012,3274,2095,2800,3487,0.0,0.0,0.0
1371,2052,2012,3275,2096,2829,3392,0.0,0.0,0.0
1249,2018,2013,3276,2095,2873,3275,0.0,0.0,0.0
1133,2000,2014,3277,2095,2900,3165,0.0,0.0,0.0
966,1998,2014,3277,2095,2909,2980,0.0,0.0,0.0
834,1999,2015,3277,2094,2901,2839,0.0,0.0,0.0
673,2034,2015,3276,2094,2847,2720,0.0,0.0,0.0
760,2061,2015,3237,2084,2847,2819,0.0,0.0,0.0
821,2058,2015,3259,2084,2846,2818,0.0,0.0,0.0
903,2057,2015,3260,2084,2827,2909,0.0,0.0,0.0
984,2051,2014,3261,2086,2851,2978,0.0,0.0,0.0
1066,2050,2015,3262,2084,2844,3088,0.0,0.0,0.0
1137,2050,2015,3257,2083,2839,3191,0.0,0.0,0.0
1239,2051,2015,3251,2085,2849,3287,0.0,0.0,0.0
1325,2055,2015,3247,2085,2837,3381,0.0,0.0,0.0
1389,2057,2014,3245,2084,2829,3447,0.0,0.0,0.0
1441,2059,2014,3244,2084,2834,3504,0.0,0.0,0.0
1488,2116,2012,3213,2088,2816,3553,0.0,0.0,0.0
1402,2112,2012,3214,2095,2802,3450,0.0,0.0,0.0
1296,2112,2012,3216,2095,2819,3351,0.0,0.0,0.0
1199,2113,2014,3219,2095,2813,3253,0.0,0.0,0.0
1125,2113,2014,3221,2094,2806,3195,0.0,0.0,0.0
1065,2112,2013,3226,2095,2804,3134,0.0,0.0,0.0
988,2112,2013,3228,2096,2810,3035,0.0,0.0,0.0
898,2115,2014,3228,2094,2796,2965,0.0,0.0,0.0
836,2116,2014,3229,2095,2810,2888,0.0,0.0,0.0
783,2115,2014,3229,2096,2799,2832,0.0,0.0,0.0
722,2115,2014,3230,2095,2806,2773,0.0,0.0,0.0
679,2112,2015,3230,2093,2827,2750,0.0,0.0,0.0
614,2101,2015,3231,2094,2849,2649,0.0,0.0,0.0
578,2035,2015,3276,2091,2871,2587,0.0,0.0,0.0
586,2009,2022,3276,2087,2910,2593,0.0,0.0,0.0
633,1981,2055,3276,2085,2927,2648,0.0,0.0,0.0
748,1957,2062,3276,2085,2949,2777,0.0,0.0,0.0
839,1947,2061,3276,2085,2951,2844,0.0,0.0,0.0
