tick_0,tick_1,tick_2,tick_3,tick_4,tick_5,tick_6,predicted_x_mm,predicted_y_mm,predicted_z_mm
743,2007,2010,3276,2098,2873,2779,0.0,0.0,0.0
1674,2115,2011,3207,2090,2837,3712,0.0,0.0,0.0
758,2063,2013,3252,2089,2849,2814,0.0,0.0,0.0
1486,2118,2013,3228,2089,2818,3548,0.0,0.0,0.0
724,2118,2013,3234,2092,2807,2777,0.0,0.0,0.0
1108,1925,2059,3276,2090,2959,3121,0.0,0.0,0.0
1341,1985,2011,3276,2092,2896,3340,0.0,0.0,0.0
832,2067,2011,3276,2090,2781,2924,0.0,0.0,0.0
1469,2174,2011,3181,2090,2801,3558,0.0,0.0,0.0
832,2122,2011,3276,2091,2739,2955,0.0,0.0,0.0
1098,2195,2011,3276,2090,2727,3125,0.0,0.0,0.0
1066,2275,2011,3187,2091,2649,3163,0.0,0.0,0.0
675,2379,2011,3276,2087,2488,2791,0.0,0.0,0.0
1303,2407,2011,3255,2087,2547,3333,0.0,0.0,0.0
813,2406,2010,3275,2094,2689,2929,0.0,0.0,0.0
1129,2410,2010,3275,2087,2435,3162,0.0,0.0,0.0
1277,2409,1984,3274,2093,2745,3308,0.0,0.0,0.0
1270,2619,1874,3274,2089,2289,3428,0.0,0.0,0.0
939,2718,1874,3274,2087,2185,3155,0.0,0.0,0.0
1393,2720,1874,3093,2088,2392,3580,0.0,0.0,0.0
905,2751,1873,3125,2090,2286,3150,0.0,0.0,0.0
1244,2769,1873,2904,2090,2532,3457,0.0,0.0,0.0
861,2690,1873,2903,2089,2649,3060,0.0,0.0,0.0
1051,2945,1873,2899,2088,2402,3208,0.0,0.0,0.0
1348,2867,1873,3184,2090,2183,3483,0.0,0.0,0.0
918,2882,1874,3190,2087,2160,3016,0.0,0.0,0.0
1367,2933,1873,2823,2090,2485,3561,0.0,0.0,0.0
838,2850,1874,3185,2088,2200,2968,0.0,0.0,0.0
1316,2874,1873,3056,2090,2295,3470,0.0,0.0,0.0
870,2581,1873,3220,2087,2463,3061,0.0,0.0,0.0
972,2596,1873,3191,2087,2424,3150,0.0,0.0,0.0
1336,2678,1874,2998,2086,2560,3496,0.0,0.0,0.0
851,2669,1873,3047,2085,2513,3034,0.0,0.0,0.0
1059,2865,1873,3179,2093,2155,3237,0.0,0.0,0.0
1091,2909,1873,3267,2098,2021,3247,0.0,0.0,0.0
1366,2913,1873,2926,2090,2406,3508,0.0,0.0,0.0
1241,2669,1873,3068,2084,2443,3457,0.0,0.0,0.0
