tick_0,tick_1,tick_2,tick_3,tick_4,tick_5,tick_6,predicted_x_mm,predicted_y_mm,predicted_z_mm
1266,1925,2059,3276,2090,2932,3265,0.0,0.0,0.0
1409,2018,2012,3275,2091,2874,3416,0.0,0.0,0.0
1546,2114,2011,3243,2091,2795,3579,0.0,0.0,0.0
1319,2195,2011,3276,2089,2710,3335,0.0,0.0,0.0
1281,2407,2011,3275,2094,2569,3326,0.0,0.0,0.0
1407,2548,1873,3273,2083,2369,3560,0.0,0.0,0.0
905,2661,1873,3162,2087,2352,3216,0.0,0.0,0.0
939,2718,1874,3274,2087,2185,3155,0.0,0.0,0.0
914,2776,1873,2903,2090,2535,3172,0.0,0.0,0.0
1028,2873,1873,3158,2088,2164,3305,0.0,0.0,0.0
1246,2910,1873,3198,2096,2149,3363,0.0,0.0,0.0
1028,3014,1873,3131,2093,2048,3305,0.0,0.0,0.0
