test_id,tick_0,tick_1,tick_2,tick_3,tick_4,tick_5,tick_6,achieved_tick_0,achieved_tick_1,achieved_tick_2,achieved_tick_3,achieved_tick_4,achieved_tick_5,achieved_tick_6,max_tick_error,predicted_x_mm,predicted_y_mm,predicted_z_mm,actual_x_mm,actual_y_mm,actual_z_mm,deviation_mm
1,964,1912,2018,3277,2089,2990,3078,961,1913,2015,3276,2088,2991,3074,4,0,0,0,55.0143994,-228.453894,18.9757248,235.749537
2,1463,2150,2011,3273,2093,2734,3524,1461,2149,2008,3275,2088,2732,3519,5,0,0,0,-87.8082445,-266.343715,45.9697435,284.187402
3,1279,2152,2010,3276,2094,2721,3347,1278,2151,2008,3276,2088,2723,3342,6,0,0,0,-44.3085842,-265.015015,80.8210572,280.585552
4,1023,2150,2009,3277,2095,2736,3095,1023,2149,2008,3276,2089,2738,3091,6,0,0,0,24.252682,-241.510007,108.195616,265.747187
5,596,2156,2010,3277,2091,2851,2728,596,2156,2008,3276,2089,2848,2721,7,0,0,0,108.663746,-156.853317,89.1256186,210.604247
6,671,2315,2013,3277,2083,2576,2734,669,2314,2010,3276,2077,2578,2731,6,0,0,0,99.3420734,-162.380134,168.35007,254.121824
7,901,2395,2012,3199,2086,2640,2935,899,2395,2010,3202,2079,2638,2930,7,0,0,0,28.8583859,-204.915488,191.680378,282.071854
8,1169,2401,2011,3193,2084,2551,3230,1166,2401,2010,3194,2081,2552,3226,4,0,0,0,-58.1617558,-257.368751,178.739741,318.699481
9,1171,2537,2012,3232,2083,2397,3235,1168,2536,2010,3234,2080,2399,3228,7,0,0,0,-85.7444615,-217.734609,212.766762,316.275462
10,1043,2610,2010,3231,2095,2258,3105,1042,2608,2010,3233,2089,2261,3101,6,0,0,0,-48.8358562,-194.298784,258.070236,326.706604
11,932,2745,2009,3232,2098,2165,2985,932,2744,2005,3230,2091,2167,2980,7,0,0,0,-34.5230885,-131.497364,289.694028,320.009422
12,972,2822,2011,3229,2090,2138,2991,970,2820,2008,3226,2084,2140,2988,6,0,0,0,-68.5725066,-109.822458,293.303628,320.609075
13,970,2633,2011,3216,2091,2336,2990,970,2633,2008,3217,2084,2338,2987,7,0,0,0,-32.7276692,-167.246297,261.412786,312.056195
14,972,2457,2012,3172,2091,2585,2991,970,2457,2008,3175,2085,2584,2987,6,0,0,0,0.626645948,-214.915964,212.604443,302.307647
15,969,2273,2012,3153,2091,2753,2992,969,2273,2009,3156,2085,2754,2987,6,0,0,0,32.7450533,-253.469436,152.576027,297.654897
16,972,2069,2012,3232,2087,2803,3059,970,2070,2009,3236,2085,2805,3054,5,0,0,0,52.3453263,-255.989824,85.6573111,274.969086
17,980,1907,2013,3277,2086,2974,3059,978,1907,2010,3276,2085,2976,3054,5,0,0,0,52.9279875,-234.661539,20.7672766,241.451215
18,619,2204,2011,3276,2094,2702,2636,619,2204,2010,3276,2088,2704,2632,6,0,0,0,115.473981,-168.425745,125.860344,239.879758
19,1072,2253,2011,3276,2085,2710,3157,1069,2252,2010,3276,2078,2708,3151,7,0,0,0,-6.59799718,-228.961454,127.819739,262.306627
20,1254,2252,2012,3275,2085,2703,3332,1252,2252,2010,3276,2079,2701,3326,6,0,0,0,-55.804081,-245.653939,105.357674,273.057124
21,1236,2035,2012,3214,2092,2863,3325,1236,2033,2010,3217,2086,2866,3317,8,0,0,0,-8.1207962,-280.533058,45.0959553,284.250575
22,961,1999,2011,3217,2094,2717,2986,961,1999,2010,3220,2087,2721,2981,7,0,0,0,73.1031829,-291.18644,77.381224,310.034631
23,963,1790,2012,3272,2092,2926,2987,962,1791,2010,3275,2087,2929,2981,6,0,0,0,68.5554322,-253.914141,-0.0167192932,263.006157
24,957,1972,2009,3277,2095,2957,2989,956,1972,2005,3276,2088,2958,2984,7,0,0,0,50.9646322,-230.881261,40.4415687,239.873031
25,957,2018,2010,3276,2095,2695,2990,956,2017,2007,3276,2088,2699,2984,7,0,0,0,63.5183776,-267.29067,85.4905788,287.728215
26,957,2063,2010,3276,2095,2654,2990,957,2063,2007,3276,2088,2658,2985,7,0,0,0,60.3069706,-266.436807,101.975576,291.589645
27,957,2065,2010,3276,2095,2654,2990,956,2066,2007,3277,2088,2658,2985,7,0,0,0,59.8068758,-265.86806,102.752141,291.239919
28,957,2067,2010,3276,2095,2654,2990,956,2066,2007,3277,2088,2657,2985,7,0,0,0,59.5363081,-265.577536,103.156267,291.062219
29,958,2070,2010,3276,2095,2657,2990,956,2071,2007,3276,2088,2661,2985,7,0,0,0,58.6952548,-264.429496,103.737555,290.050981
30,958,2072,2010,3276,2095,2662,2990,956,2070,2007,3276,2089,2665,2985,6,0,0,0,58.1033701,-263.244815,103.671342,288.827944
