tick_0,tick_1,tick_2,tick_3,tick_4,tick_5,tick_6,predicted_x_mm,predicted_y_mm,predicted_z_mm
743,2007,2010,3276,2098,2873,2779,0.0,0.0,0.0
1375,2014,2011,3276,2090,2837,3465,0.0,0.0,0.0
1372,2061,2011,3276,2092,2829,3397,0.0,0.0,0.0
819,2063,2013,3262,2090,2849,2814,0.0,0.0,0.0
1387,2060,2013,3259,2089,2832,3441,0.0,0.0,0.0
1067,2118,2013,3229,2091,2806,3139,0.0,0.0,0.0
616,2112,2013,3234,2092,2851,2654,0.0,0.0,0.0
1023,1925,2059,3276,2090,2960,3036,0.0,0.0,0.0
1561,2013,2013,3276,2090,2844,3570,0.0,0.0,0.0
1099,1985,2011,3276,2092,2916,3146,0.0,0.0,0.0
832,2067,2011,3276,2090,2781,2924,0.0,0.0,0.0
1272,2122,2011,3232,2089,2809,3360,0.0,0.0,0.0
1301,2169,2011,3276,2092,2805,3354,0.0,0.0,0.0
757,2130,2011,3276,2092,2725,2842,0.0,0.0,0.0
991,2195,2011,3276,2089,2705,3017,0.0,0.0,0.0
1372,2250,2011,3273,2091,2641,3406,0.0,0.0,0.0
946,2276,2011,3187,2091,2663,3053,0.0,0.0,0.0
608,2353,2011,3276,2091,2551,2670,0.0,0.0,0.0
1152,2407,2011,3273,2087,2505,3219,0.0,0.0,0.0
1484,2407,2011,3241,2087,2586,3506,0.0,0.0,0.0
813,2406,2010,3275,2094,2689,2929,0.0,0.0,0.0
962,2409,2010,3275,2087,2365,3029,0.0,0.0,0.0
1311,2409,2010,3266,2087,2493,3368,0.0,0.0,0.0
1225,2409,1907,3274,2093,2719,3308,0.0,0.0,0.0
1364,2612,1875,3273,2088,2301,3515,0.0,0.0,0.0
977,2645,1874,3274,2090,2271,3180,0.0,0.0,0.0
1039,2717,1874,3274,2087,2209,3215,0.0,0.0,0.0
1379,2720,1874,3140,2087,2362,3566,0.0,0.0,0.0
1107,2725,1874,3165,2090,2308,3272,0.0,0.0,0.0
1075,2761,1874,3052,2088,2414,3282,0.0,0.0,0.0
1244,2769,1873,2904,2090,2532,3457,0.0,0.0,0.0
808,2786,1873,2903,2090,2507,3061,0.0,0.0,0.0
861,2873,1873,2903,2089,2470,3060,0.0,0.0,0.0
1093,2945,1873,2899,2088,2389,3258,0.0,0.0,0.0
1424,2907,1873,3031,2088,2321,3519,0.0,0.0,0.0
