point_index,target_tx_mm,target_ty_mm,target_tz_mm,before_tx_mm,before_ty_mm,before_tz_mm,after_tx_mm,after_ty_mm,after_tz_mm,commanded_delta_ndi_mm_x,commanded_delta_ndi_mm_y,commanded_delta_ndi_mm_z,achieved_delta_ndi_mm_x,achieved_delta_ndi_mm_y,achieved_delta_ndi_mm_z,error_mm
0,-3.52421,-266.706,67.3051,-28.481,-245.97,83.9351,-6.99473,-260.861,71.1903,24.9568,-20.7357,-16.63,21.4863,-14.8908,-12.7448,7.82955
1,-5.08152,-264.798,68.9319,-6.93968,-260.83,71.1973,-6.92298,-258.763,69.9514,1.85816,-3.96796,-2.26539,0.0167065,2.06693,-1.24586,6.39143
2,-1.20956,-271.959,67.8799,-6.93339,-258.756,69.9266,-4.19763,-265.912,69.2667,5.72383,-13.2022,-2.04676,2.73576,-7.15551,-0.659953,6.88583
3,3.19364,-282.402,66.8255,-4.14594,-265.864,69.2479,0.215892,-277.009,68.5535,7.33958,-16.5377,-2.42246,4.36183,-11.1448,-0.694434,6.39812
4,3.80876,-287.964,63.1365,0.331607,-276.928,68.5514,1.92798,-282.41,65.6474,3.47715,-11.036,-5.41484,1.59637,-5.48209,-2.90394,6.37872
5,4.14625,-287.171,60.0865,1.86596,-282.403,65.6222,2.13481,-281.891,63.2659,2.28029,-4.76745,-5.53577,0.268846,0.511896,-2.35639,6.48274
6,1.31073,-259.914,62.4315,2.09033,-281.898,63.2435,0.0342015,-258.129,63.8457,-0.779598,21.9845,-0.811994,-2.05613,23.7694,0.602246,2.61061
7,-0.210648,-258.064,65.1687,0.0837791,-258.105,63.873,-1.31658,-256.674,66.1535,-0.294427,0.0412576,1.29574,-1.40036,1.43126,2.28051,2.031
8,-2.30234,-257.92,66.3059,-1.30539,-256.678,66.1695,-2.89507,-255.42,67.8901,-0.996947,-1.2417,0.136351,-1.58967,1.25829,1.72055,3.01843
9,-7.64918,-268.929,63.5515,-2.92286,-255.415,67.905,-9.83179,-264.243,65.7328,-4.72632,-13.5134,-4.35354,-6.90893,-8.82772,-2.17224,5.61051
10,12.3796,-256.403,70.1123,-9.87412,-264.238,65.7025,11.1642,-253.728,73.5346,22.2537,7.83433,4.40988,21.0384,10.5092,7.83217,4.51046
11,12.3965,-256.377,70.1152,11.1591,-253.732,73.5266,10.856,-252.19,73.0431,1.2374,-2.64445,-3.4114,-0.303103,1.54217,-0.483459,5.33608
