point_index,target_tx_mm,target_ty_mm,target_tz_mm,before_tx_mm,before_ty_mm,before_tz_mm,after_tx_mm,after_ty_mm,after_tz_mm,commanded_delta_ndi_mm_x,commanded_delta_ndi_mm_y,commanded_delta_ndi_mm_z,achieved_delta_ndi_mm_x,achieved_delta_ndi_mm_y,achieved_delta_ndi_mm_z,error_mm
0,-3.52421,-266.706,67.3051,10.4423,-251.825,72.1984,-6.19498,-261.01,66.6241,-13.9665,-14.8808,-4.89335,-16.6373,-9.18503,-5.57427,6.32756
1,-5.08152,-264.798,68.9319,-6.27651,-260.974,66.5409,-7.67548,-258.888,68.8947,1.19499,-3.82404,2.39105,-1.39897,2.08614,2.35384,6.45447
2,-1.20956,-271.959,67.8799,-7.54294,-258.833,68.9248,-4.27136,-265.435,68.5084,6.33338,-13.1259,-1.04491,3.27158,-6.60274,-0.416398,7.23339
3,3.19364,-282.402,66.8255,-4.16761,-265.381,68.5289,0.338034,-276.373,67.8334,7.36125,-17.0208,-1.70346,4.50565,-10.9923,-0.695504,6.74637
4,3.80876,-287.964,63.1365,0.458139,-276.298,67.8604,1.66042,-282.553,65.0775,3.35062,-11.6664,-4.72389,1.20228,-6.25501,-2.78293,6.13724
5,4.14625,-287.171,60.0865,1.60462,-282.556,65.0657,1.5264,-280.81,63.1457,2.54163,-4.61459,-4.97921,-0.0782152,1.7459,-1.91995,7.52851
6,1.31073,-259.914,62.4315,1.48014,-280.827,63.1306,-0.112568,-258.519,65.2216,-0.169409,20.9136,-0.699073,-1.59271,22.3087,2.09099,3.4288
7,-0.210648,-258.064,65.1687,-0.0834697,-258.51,65.2428,-1.14654,-256.321,66.3028,-0.127178,0.445883,-0.0741037,-1.06307,2.18845,1.05995,2.28002
8,-2.30234,-257.92,66.3059,-1.15107,-256.33,66.3119,-3.34282,-255.092,67.9659,-1.15127,-1.59,-0.0060845,-2.19174,1.23789,1.65401,3.44027
9,-7.64918,-268.929,63.5515,-3.3637,-255.104,67.9649,-10.1211,-264.382,64.3346,-4.28548,-13.8245,-4.41335,-6.75737,-9.2781,-3.63026,5.23384
10,12.3796,-256.403,70.1123,-10.1608,-264.378,64.3009,11.5546,-253.887,74.3142,22.5404,7.97457,5.81147,21.7154,10.4905,10.0133,4.96652
11,12.3965,-256.377,70.1152,11.533,-253.892,74.3106,10.3065,-252.594,73.3864,0.863488,-2.48501,-4.19544,-1.22651,1.29759,-0.924235,5.42005
