point_index,target_tx_mm,target_ty_mm,target_tz_mm,before_tx_mm,before_ty_mm,before_tz_mm,after_tx_mm,after_ty_mm,after_tz_mm,commanded_delta_ndi_mm_x,commanded_delta_ndi_mm_y,commanded_delta_ndi_mm_z,achieved_delta_ndi_mm_x,achieved_delta_ndi_mm_y,achieved_delta_ndi_mm_z,error_mm
0,-3.52421,-266.706,67.3051,46.7356,-221.932,-4.26608,-3.99007,-264.001,65.8829,-50.2598,-44.7734,71.5711,-50.7257,-42.0688,70.149,3.09104
1,-5.08152,-264.798,68.9319,-4.05969,-264,65.8764,-2.54486,-260.787,69.3706,-1.02183,-0.798443,3.05555,1.51483,3.21251,3.49425,4.76601
2,-1.20956,-271.959,67.8799,-2.51937,-260.778,69.3984,-1.79128,-265.7,67.8629,1.30982,-11.1809,-1.51853,0.728092,-4.92207,-1.53556,6.28578
3,3.19364,-282.402,66.8255,-1.79716,-265.682,67.856,1.21093,-276.327,66.5547,4.9908,-16.72,-1.03058,3.00809,-10.6453,-1.3013,6.39584
4,3.80876,-287.964,63.1365,1.29138,-276.279,66.5871,2.44971,-281.419,63.9694,2.51737,-11.6858,-3.45062,1.15832,-5.14071,-2.61778,6.73639
5,4.14625,-287.171,60.0865,2.46436,-281.342,63.8857,3.35372,-280.89,61.2517,1.68189,-5.82821,-3.79917,0.88936,0.452479,-2.63391,6.43685
6,1.31073,-259.914,62.4315,3.34162,-280.882,61.2384,-0.716881,-258.054,65.4419,-2.03089,20.9681,1.1931,-4.0585,22.828,4.20348,4.07835
7,-0.210648,-258.064,65.1687,-0.703468,-258.057,65.4575,-1.03221,-256.081,65.6133,0.49282,-0.00650236,-0.288753,-0.328745,1.97611,0.155867,2.19166
8,-2.30234,-257.92,66.3059,-1.03307,-256.069,65.6102,-2.55461,-254.197,67.2694,-1.26927,-1.85117,0.695619,-1.52154,1.87169,1.65921,3.8538
9,-7.64918,-268.929,63.5515,-2.55177,-254.192,67.2784,-9.03611,-264.607,66.335,-5.09741,-14.737,-3.72686,-6.48434,-10.4153,-0.943329,5.32433
10,12.3796,-256.403,70.1123,-9.09278,-264.591,66.3212,7.83683,-254.326,73.5738,21.4724,8.18762,3.79119,16.9296,10.2651,7.25264,6.07734
11,12.3965,-256.377,70.1152,7.87738,-254.299,73.5882,9.84678,-251.16,71.8437,4.51913,-2.07758,-3.47307,1.9694,3.13918,-1.74452,6.05836
