point_index,target_tx_mm,target_ty_mm,target_tz_mm,before_tx_mm,before_ty_mm,before_tz_mm,after_tx_mm,after_ty_mm,after_tz_mm,commanded_delta_ndi_mm_x,commanded_delta_ndi_mm_y,commanded_delta_ndi_mm_z,achieved_delta_ndi_mm_x,achieved_delta_ndi_mm_y,achieved_delta_ndi_mm_z,error_mm
0,-3.52421,-266.706,67.3051,39.8212,-233.041,-13.3114,-3.83494,-262.156,65.988,-43.3454,-33.6648,80.6165,-43.6561,-29.1146,79.2995,4.74707
1,-5.08152,-264.798,68.9319,-3.8833,-262.157,66.0011,-6.00848,-259.345,68.9814,-1.19822,-2.64178,2.93082,-2.12518,2.8113,2.98033,5.53152
2,-1.20956,-271.959,67.8799,-6.01674,-259.339,69.0033,-2.77534,-265.084,67.1823,4.80718,-12.6193,-1.12341,3.2414,-5.74508,-1.82103,7.08469
3,3.19364,-282.402,66.8255,-2.80408,-265.043,67.2004,1.45371,-275.227,66.2952,5.99772,-17.3587,-0.374997,4.25779,-10.1835,-0.90529,7.40221
4,3.80876,-287.964,63.1365,1.48898,-275.2,66.2886,2.67571,-281.678,63.795,2.31977,-12.7647,-3.15204,1.18673,-6.47849,-2.49352,6.42136
5,4.14625,-287.171,60.0865,2.63115,-281.656,63.8208,3.29113,-280.797,61.4906,1.5151,-5.5148,-3.73434,0.659975,0.859232,-2.33025,6.58263
6,1.31073,-259.914,62.4315,3.30801,-280.772,61.452,-0.196315,-258.021,65.5098,-1.99728,20.8584,0.979495,-3.50433,22.7514,4.05783,3.91548
7,-0.210648,-258.064,65.1687,-0.194482,-258.021,65.5235,-0.596799,-256.932,66.0946,-0.0161659,-0.0424981,-0.354728,-0.402317,1.08905,0.571184,1.51222
8,-2.30234,-257.92,66.3059,-0.596647,-256.905,66.1109,-2.40049,-255.863,67.7426,-1.70569,-1.01474,0.194921,-1.80384,1.04206,1.63169,2.51085
9,-7.64918,-268.929,63.5515,-2.50952,-255.909,67.7153,-8.49814,-263.368,64.3654,-5.13967,-13.0197,-4.16384,-5.98863,-7.4594,-3.34991,5.68329
10,12.3796,-256.403,70.1123,-8.57442,-263.376,64.3318,11.2569,-253.276,72.9302,20.954,6.97219,5.78052,19.8313,10.0991,8.5984,4.35643
11,12.3965,-256.377,70.1152,11.2756,-253.271,72.9494,11.228,-251.199,71.7473,1.12092,-3.10614,-2.83425,-0.047569,2.07122,-1.20205,5.55288
