point_index,target_tx_mm,target_ty_mm,target_tz_mm,before_tx_mm,before_ty_mm,before_tz_mm,after_tx_mm,after_ty_mm,after_tz_mm,commanded_delta_ndi_mm_x,commanded_delta_ndi_mm_y,commanded_delta_ndi_mm_z,achieved_delta_ndi_mm_x,achieved_delta_ndi_mm_y,achieved_delta_ndi_mm_z,error_mm
0,-3.52421,-266.706,67.3051,-2.14438,-268.181,72.6005,-4.56535,-264.975,70.2421,-1.37983,1.47529,-5.29543,-2.42097,3.2058,-2.35839,3.56439
1,-5.08152,-264.798,68.9319,-4.55589,-264.965,70.2297,-5.20123,-263.21,70.4636,-0.525628,0.166491,-1.2978,-0.645336,1.75438,0.233887,2.20948
2,-1.20956,-271.959,67.8799,-5.22264,-263.234,70.466,-3.49761,-265.845,68.5191,4.01308,-8.72419,-2.5861,1.72503,-2.6105,-1.94685,6.55904
3,3.19364,-282.402,66.8255,-3.48999,-265.822,68.5057,0.400378,-276.257,68.125,6.68364,-16.5795,-1.68023,3.89037,-10.435,-0.380719,6.87354
4,3.80876,-287.964,63.1365,0.435819,-276.225,68.143,2.03917,-281.221,64.9823,3.37294,-11.7395,-5.0065,1.60335,-4.99655,-3.16068,7.21151
5,4.14625,-287.171,60.0865,2.0182,-281.221,64.9612,2.62516,-280.998,61.8316,2.12805,-5.94964,-4.87476,0.606956,0.222788,-3.12966,6.59226
6,1.31073,-259.914,62.4315,2.4953,-281.033,61.7769,0.213149,-258.301,63.1142,-1.18457,21.1192,0.654564,-2.28215,22.7314,1.33726,2.06639
7,-0.210648,-258.064,65.1687,0.291822,-258.288,63.1373,-1.17981,-256.575,65.5894,-0.502469,0.224339,2.03143,-1.47163,1.71301,2.45211,1.82548
8,-2.30234,-257.92,66.3059,-1.18962,-256.575,65.6152,-2.43274,-254.856,67.3336,-1.11272,-1.34458,0.690672,-1.24312,1.71949,1.71839,3.23445
9,-7.64918,-268.929,63.5515,-2.52459,-254.889,67.3219,-9.49708,-263.662,65.0193,-5.12459,-14.04,-3.77038,-6.97249,-8.77347,-2.30262,5.77105
10,12.3796,-256.403,70.1123,-9.52188,-263.653,65.0153,11.2903,-253.617,72.957,21.9015,7.24942,5.09709,20.8121,10.0363,7.94176,4.12862
11,12.3965,-256.377,70.1152,11.3318,-253.562,72.9632,11.1004,-251.348,71.8691,1.06473,-2.81504,-2.84804,-0.231368,2.21355,-1.0941,5.48114
