point_index,target_tx_mm,target_ty_mm,target_tz_mm,before_tx_mm,before_ty_mm,before_tz_mm,after_tx_mm,after_ty_mm,after_tz_mm,commanded_delta_ndi_mm_x,commanded_delta_ndi_mm_y,commanded_delta_ndi_mm_z,achieved_delta_ndi_mm_x,achieved_delta_ndi_mm_y,achieved_delta_ndi_mm_z,error_mm
0,-58.4595,-257.633,50.1953,-27.0313,-245.046,83.1626,-60.1698,-252.448,52.3979,-31.4283,-12.5871,-32.9673,-33.1385,-7.40266,-30.7647,5.88686
1,-48.7323,-258.22,53.1877,-60.2467,-252.458,52.3403,-50.7849,-251.118,54.6965,11.5143,-5.76164,0.84737,9.46174,1.34043,2.35617,7.54513
2,41.1499,-254.657,50.365,-50.6684,-251.031,54.6766,39.1736,-248.96,55.922,91.8183,-3.62596,-4.31165,89.842,2.07149,1.24537,8.20043
3,25.0502,-255.013,93.1562,39.217,-248.934,55.9094,21.76,-245.617,92.6894,-14.1668,-6.07888,37.2468,-17.4571,3.31716,36.7799,9.96639
4,-88.604,-254.106,70.9897,21.7161,-245.636,92.699,-93.9531,-253.225,67.6954,-110.32,-8.4704,-21.7093,-115.669,-7.58958,-25.0036,6.34355
5,-76.9742,-271.514,103.282,-93.9956,-253.209,67.6889,-78.4166,-262.115,105.11,17.0215,-18.305,35.5927,15.579,-8.90617,37.421,9.68302
6,-78.4449,-242.428,160.193,-78.379,-262.095,105.117,-79.9948,-235.593,159.559,-0.0658852,19.6667,55.0755,-1.61581,26.5017,54.442,7.0371
7,8.88111,-213.804,161.925,-79.9514,-235.553,159.582,5.52716,-210.889,166.5,88.8325,21.749,2.34242,85.4786,24.6643,6.91804,6.3784
8,54.0037,-179.833,184.584,5.58002,-210.822,166.482,50.3303,-174.075,181.638,48.4237,30.9882,18.1015,44.7503,36.7466,15.1553,7.43859
9,13.8021,-242.804,87.4644,50.3859,-174.058,181.646,10.2847,-242.239,94.1562,-36.5838,-68.7459,-94.1813,-40.1012,-68.1804,-87.4895,7.58102
10,-68.6725,-257.738,74.1112,10.2539,-242.26,94.1391,-72.926,-257.603,73.0412,-78.9264,-15.4778,-20.0279,-83.1799,-15.343,-21.0979,4.38809
11,-101.578,-290.028,80.0987,-72.9438,-257.596,73.037,-103.859,-280.87,82.4575,-28.6346,-32.4321,7.06175,-30.9149,-23.274,9.4205,9.72802
12,-101.611,-289.998,80.0974,-103.882,-280.877,82.3616,-104.056,-285.615,83.804,2.2706,-9.1214,-2.26427,-0.174229,-4.73814,1.44233,6.23931
