point_index,target_tx_mm,target_ty_mm,target_tz_mm,before_tx_mm,before_ty_mm,before_tz_mm,after_tx_mm,after_ty_mm,after_tz_mm,commanded_delta_ndi_mm_x,commanded_delta_ndi_mm_y,commanded_delta_ndi_mm_z,achieved_delta_ndi_mm_x,achieved_delta_ndi_mm_y,achieved_delta_ndi_mm_z,error_mm
0,-3.52421,-266.706,67.3051,33.0348,-229.867,-15.2164,-1.87821,-262.692,69.0781,-36.559,-36.8385,82.5214,-34.913,-32.8244,84.2945,4.68681
1,-5.08152,-264.798,68.9319,-1.92813,-262.695,69.1073,-5.83569,-261.137,69.4466,-3.15339,-2.10286,-0.175385,-3.90756,1.55894,0.33928,3.77392
2,-1.20956,-271.959,67.8799,-5.85464,-261.128,69.4391,-2.92386,-265.309,66.8626,4.64508,-10.8303,-1.55921,2.93078,-4.18062,-2.57645,6.94205
3,3.19364,-282.402,66.8255,-2.93998,-265.291,66.8564,0.973248,-275.389,65.6011,6.13362,-17.1107,-0.0309432,3.91323,-10.0973,-1.25529,7.4577
4,3.80876,-287.964,63.1365,0.986449,-275.375,65.6014,2.81995,-280.837,63.2456,2.82231,-12.5892,-2.46488,1.83351,-5.46225,-2.3558,7.19604
5,4.14625,-287.171,60.0865,2.71282,-280.859,63.2079,3.1601,-280.349,60.6993,1.43343,-6.31204,-3.12142,0.447278,0.50917,-2.50863,6.91932
6,1.31073,-259.914,62.4315,3.13389,-280.3,60.6196,-1.32539,-258.282,66.5738,-1.82316,20.3864,1.81194,-4.45927,22.0178,5.95425,5.17391
7,-0.210648,-258.064,65.1687,-1.22497,-258.226,66.597,-1.93769,-256.28,67.0195,1.01432,0.162158,-1.42824,-0.712722,1.94569,0.422484,3.09659
8,-2.30234,-257.92,66.3059,-1.9431,-256.254,67.018,-2.77921,-254.942,67.4998,-0.359242,-1.6658,-0.712099,-0.836112,1.31241,0.481818,3.24385
9,-7.64918,-268.929,63.5515,-2.8314,-254.954,67.4763,-8.91254,-262.954,62.7724,-4.81778,-13.9743,-3.92483,-6.08114,-8.0002,-4.70396,6.15572
10,12.3796,-256.403,70.1123,-8.96116,-262.966,62.7448,11.0642,-253.717,73.8067,21.3407,6.5628,7.36751,20.0253,9.24871,11.0619,4.75319
11,12.3965,-256.377,70.1152,11.0754,-253.718,73.8164,10.8482,-251.278,72.5343,1.32111,-2.65821,-3.70128,-0.227223,2.44004,-1.28217,5.85163
