point_index,target_tx_mm,target_ty_mm,target_tz_mm,before_tx_mm,before_ty_mm,before_tz_mm,after_tx_mm,after_ty_mm,after_tz_mm,commanded_delta_ndi_mm_x,commanded_delta_ndi_mm_y,commanded_delta_ndi_mm_z,achieved_delta_ndi_mm_x,achieved_delta_ndi_mm_y,achieved_delta_ndi_mm_z,error_mm
0,-3.52421,-266.706,67.3051,36.5934,-232.099,-19.5587,-0.117596,-262.359,69.7155,-40.1176,-34.6066,86.8638,-36.711,-30.2593,89.2742,6.02614
1,-5.08152,-264.798,68.9319,-0.185552,-262.365,69.7179,-5.6275,-260.799,69.6977,-4.89597,-2.43307,-0.785952,-5.44195,1.56598,-0.0201397,4.10816
2,-1.20956,-271.959,67.8799,-5.67514,-260.801,69.7048,-2.855,-265.18,66.915,4.46558,-11.1576,-1.82489,2.82014,-4.37956,-2.78979,7.04134
3,3.19364,-282.402,66.8255,-2.81593,-265.129,66.9293,1.46111,-275.866,65.7771,6.00957,-17.2728,-0.103841,4.27704,-10.7371,-1.15218,6.84228
4,3.80876,-287.964,63.1365,1.45554,-275.851,65.7878,3.07212,-281.45,63.5214,2.35321,-12.1134,-2.65133,1.61658,-5.59905,-2.26645,6.56714
5,4.14625,-287.171,60.0865,2.98323,-281.475,63.4724,2.95707,-281.063,60.8371,1.16302,-5.69558,-3.38592,-0.0261665,0.412263,-2.63535,6.26763
6,1.31073,-259.914,62.4315,2.90394,-281.079,60.8022,-1.39117,-258.435,65.8988,-1.59321,21.1651,1.62928,-4.29512,22.6434,5.09656,4.63766
7,-0.210648,-258.064,65.1687,-1.3167,-258.432,65.9151,-1.82729,-256.863,66.2643,1.10605,0.367797,-0.746342,-0.510588,1.56911,0.349193,2.29278
8,-2.30234,-257.92,66.3059,-1.78795,-256.833,66.2927,-2.70182,-255.568,67.5697,-0.51439,-1.08666,0.0131362,-0.913872,1.26553,1.27701,2.69995
9,-7.64918,-268.929,63.5515,-2.71063,-255.573,67.566,-8.10841,-263.248,63.4553,-4.93855,-13.3555,-4.01447,-5.39778,-7.67474,-4.11069,5.70009
10,12.3796,-256.403,70.1123,-8.14495,-263.248,63.4377,10.0592,-253.994,73.1145,20.5245,6.84466,6.67467,18.2042,9.25424,9.6768,4.49476
11,12.3965,-256.377,70.1152,10.1013,-253.984,73.1234,9.96454,-251.21,71.8089,2.29521,-2.39284,-3.0082,-0.13676,2.77434,-1.31448,5.95676
