capture_id,timestamp_ms,shoulder_roll_joint_rad,shoulder_pitch_joint_rad,shoulder_yaw_joint_rad,elbow_pitch_joint_rad,elbow_yaw_joint_rad,wrist_pitch_joint_rad,wrist_roll_joint_rad,moveit_pose_x_mm,moveit_pose_y_mm,moveit_pose_z_mm,moveit_pose_qw,moveit_pose_qx,moveit_pose_qy,moveit_pose_qz,moving_camera_q0,moving_camera_qx,moving_camera_qy,moving_camera_qz,moving_camera_tx_mm,moving_camera_ty_mm,moving_camera_tz_mm,moving_camera_error,moving_camera_frame,moving_camera_visible_markers,moving_accepted_samples,fixed_camera_q0,fixed_camera_qx,fixed_camera_qy,fixed_camera_qz,fixed_camera_tx_mm,fixed_camera_ty_mm,fixed_camera_tz_mm,fixed_camera_error,fixed_camera_frame,fixed_camera_visible_markers,fixed_accepted_samples,moving_relative_fixed_q0,moving_relative_fixed_qx,moving_relative_fixed_qy,moving_relative_fixed_qz,moving_relative_fixed_tx_mm,moving_relative_fixed_ty_mm,moving_relative_fixed_tz_mm,moving_relative_fixed_error,moving_relative_fixed_frame,moving_relative_fixed_visible_markers
1,1786625366247,1.4855667282,0.0322758010005,0.0651133181539,-1.8720759842,0.00460194236366,-1.43938613227,-1.6754046694,-139.707785045,20.0200788201,257.502559647,0.0422327090691,-0.0118175204877,0.99902013981,0.0059585860295,0.280042756472,0.608795169371,-0.335115013973,0.662300855887,-60.1027562459,108.866667684,-1047.59599202,0.129356707136,123009,4,30,0.19927810813,-0.436373530259,-0.36142668623,-0.799523062951,90.3131022135,-91.6664377848,-996.009163411,0.301113283634,123009,4,30,-0.618261006445,0.750828181899,0.232169055432,-0.0103874383633,37.1111338445,-248.434152611,49.0193157121,0.327723003865,123009,4
2,1786625387755,2.01612627399,-0.0876057455729,0.042915596056,-1.98256425924,0.00460194236366,-1.15521547955,-1.17386020455,-146.586377373,-63.6341885538,220.446609623,0.0112735043665,-0.0222302442692,0.999620499331,0.011729520715,0.275477744015,0.611146860348,-0.31083901388,0.673788271707,-15.0492698669,115.44989268,-1132.37450765,0.141062002877,124299,4,30,0.199100819221,-0.436283921752,-0.361502832602,-0.799581706536,90.265998586,-91.6831143697,-996.063191732,0.306235009432,124299,4,30,-0.638165296623,0.733983909046,0.2323965424,-0.00212662361043,-58.4645565895,-258.445630445,48.6201085207,0.337162230473,124299,4
3,1786625415576,1.97064974149,-0.0783840881441,0.042915596056,-1.98256425924,0.00460194236366,-1.15521547955,-1.18924500408,-149.238907213,-56.6177052715,221.883187839,0.00746513959106,-0.00868010078214,0.999890194551,0.009408846,0.263607054988,0.617688056265,-0.316515082367,0.669918643078,-17.3686343511,117.57602361,-1124.47496338,0.138960593442,125970,4,30,0.199149095195,-0.43621496365,-0.361481863931,-0.799616786605,90.2694620768,-91.6812810262,-996.0734375,0.310463552674,125970,4,30,-0.638211397251,0.733255572283,0.23394067945,-0.0171533271971,-50.5769524357,-258.117902078,51.7556924775,0.340143593308,125970,4
4,1786625438151,1.48708261262,0.0322758010005,0.0651133181539,-1.8720759842,0.00460194236366,-1.43938613227,-1.67386618945,-139.743087567,19.7213146822,257.495708475,0.0421250468459,-0.0126345724931,0.999018558491,0.00526951570035,0.280481933297,0.608652089496,-0.334542151141,0.662536088191,-60.1216978709,108.980292257,-1047.86808268,0.13189877222,127326,4,30,0.199273492284,-0.436363181981,-0.361457532695,-0.799515916503,90.3104937236,-91.6663149516,-996.007977295,0.29857720236,127326,4,30,-0.618486115354,0.7506306507,0.232237602346,-0.00970811009695,36.8994719723,-248.625640449,49.0111789514,0.326413283863,127326,4
5,1786625468551,1.5310432607,-0.136787918526,0.0651133181539,-1.87518832997,0.00306796157577,-1.24479101138,-1.52001819409,-174.661398264,16.0954874271,227.645630903,0.0312138389045,0.0438424962842,0.998483358252,0.0115980633838,0.234956010679,0.622852899629,-0.361547757187,0.652788754302,-30.1529366811,140.717168172,-1045.65933838,0.13498253574,129153,4,30,0.199276275282,-0.436545885739,-0.361328484865,-0.799473815568,90.317301178,-91.6431879679,-995.990248617,0.302154971162,129153,4,30,-0.616332724941,0.751608022155,0.225830748216,-0.0649601905636,22.4290535957,-249.677827536,90.1629180137,0.330934905311,129153,4
6,1786625489614,2.08888872598,-0.238226150242,0.0488349886154,-1.98256425924,0.00306796157577,-0.976064415874,-0.963088450914,-164.131097679,-86.6358410722,192.066110348,-0.00271435733952,0.0462995554132,0.998865676173,0.010786305912,0.216913493278,0.63410515708,-0.345946028843,0.656643382154,14.8366397858,128.970000203,-1149.27931315,0.138859498004,130419,4,30,0.199046874559,-0.436118599098,-0.361434535933,-0.799716190586,90.2408266703,-91.6803464254,-996.090299479,0.299364095926,130419,4,30,-0.633460601656,0.734808894909,0.230270320692,-0.0758889551956,-88.8370354939,-255.255356657,69.2237300315,0.330001245628,130419,4
7,1786625510822,2.08888872598,-0.238226150242,0.0488349886154,-1.98256425924,0.00306796157577,-0.974520010153,-0.950780611286,-164.496581412,-86.9410352686,192.26023216,-0.00399127659435,0.0524164254232,0.998567229538,0.0100038067749,0.215568837355,0.634731831595,-0.346624374722,0.656122794277,14.8480685552,128.939490763,-1149.30089111,0.140903738141,131691,4,30,0.199054286684,-0.436086120448,-0.361419527731,-0.799738839547,90.2373883565,-91.6817825317,-996.096748861,0.297794556618,131691,4,30,-0.633337905098,0.734697235586,0.230407374262,-0.0775597310156,-88.8615277309,-255.235004787,69.1919518057,0.329447205745,131691,4
8,1786625532699,1.83573602842,-0.544077788295,0.0488349886154,-1.90008709618,0.00306796157577,-0.810813003693,-1.17232172459,-218.770695477,-51.5179761659,135.211469263,0.0277759825045,0.0647815501659,0.997382930896,0.0160976616697,0.218442088085,0.625884892302,-0.375233682648,0.647881809551,69.475482432,182.058776855,-1103.78484294,0.139294340213,133005,4,30,0.198925744881,-0.4364075069,-0.361284802513,-0.79965638084,90.2512639364,-91.632509613,-996.041925049,0.306322575609,133005,4,30,-0.612203706476,0.753962245725,0.222028529357,-0.0863185145199,-80.2371319492,-237.291294907,155.569707072,0.336506216203,133005,4
9,1786625558421,1.43857431129,-0.425733184626,0.10950876235,-1.96855870325,0.0444854428487,-0.852511958169,-1.48617163512,-206.594608012,35.1399615763,152.972343025,0.0286743485519,0.0820230975692,0.99607067241,0.0171233397722,0.203527931876,0.627120258889,-0.385306796498,0.645627783176,42.2879670461,168.262260946,-1015.5972758,0.129120848576,134550,4,30,0.199183340225,-0.436757186597,-0.361083147815,-0.799492412282,90.3261075338,-91.59833196,-995.948697917,0.297521345814,134550,4,30,-0.610406629484,0.754979367276,0.216139125974,-0.103410733936,8.55061814798,-209.856663484,161.58070745,0.324331843568,134550,4
10,1786625577750,1.18542161373,-0.46876758596,0.116908003049,-1.98256425924,0.0444854428487,-0.72587068902,-1.74771322722,-205.004521011,92.1906587352,140.258044202,-0.00273720457441,0.0760101692307,0.996903561884,0.0199562067673,0.187691367836,0.6311050083,-0.36529394918,0.65805679818,47.9838867188,164.247720846,-956.131549072,0.118716394156,135711,4,30,0.199205893755,-0.437168816462,-0.361175103204,-0.799220234124,90.3743563334,-91.5696800232,-995.857999674,0.295975723863,135711,4,30,-0.632507431375,0.737396697953,0.211730722384,-0.106539008361,55.6271971097,-179.641641531,182.899373834,0.318896866334,135711,4
