capture_id,timestamp_ms,shoulder_roll_joint_rad,shoulder_pitch_joint_rad,shoulder_yaw_joint_rad,elbow_pitch_joint_rad,elbow_yaw_joint_rad,wrist_pitch_joint_rad,wrist_roll_joint_rad,moveit_pose_x_mm,moveit_pose_y_mm,moveit_pose_z_mm,moveit_pose_qw,moveit_pose_qx,moveit_pose_qy,moveit_pose_qz,moving_camera_q0,moving_camera_qx,moving_camera_qy,moving_camera_qz,moving_camera_tx_mm,moving_camera_ty_mm,moving_camera_tz_mm,moving_camera_error,moving_camera_frame,moving_camera_visible_markers,moving_accepted_samples,fixed_camera_q0,fixed_camera_qx,fixed_camera_qy,fixed_camera_qz,fixed_camera_tx_mm,fixed_camera_ty_mm,fixed_camera_tz_mm,fixed_camera_error,fixed_camera_frame,fixed_camera_visible_markers,fixed_accepted_samples,moving_relative_fixed_q0,moving_relative_fixed_qx,moving_relative_fixed_qy,moving_relative_fixed_qz,moving_relative_fixed_tx_mm,moving_relative_fixed_ty_mm,moving_relative_fixed_tz_mm,moving_relative_fixed_error,moving_relative_fixed_frame,moving_relative_fixed_visible_markers
1,1786463034274,2.01612627399,-0.0968274030016,0.0369962034965,-1.98100808635,0.00613592315154,-1.15058226238,-1.17386020455,-147.326746241,-64.4351808183,218.849989549,0.0145353821081,-0.0228319337975,0.999585178792,0.00984356674725,0.277184717774,0.608564354801,-0.285728587625,0.686423508129,-17.8192824046,110.486830902,-1105.7892863,0.164840196073,503294,4,30,0.194404994313,-0.442212869378,-0.376852605265,-0.790339541114,88.6893730164,-90.6208689372,-961.785754395,0.306137403846,503294,4,30,-0.650058973835,0.725385687509,0.226337882354,-0.00317772033138,-59.7258918678,-258.034212681,48.7501870848,0.347695844489,503294,4
2,1786463053404,1.96761797266,-0.0783840881441,0.0369962034965,-1.98100808635,0.00460194236366,-1.15367107383,-1.19232196399,-149.457482346,-56.6419817211,221.828078206,0.0078140344115,-0.00776269649363,0.999919227196,0.00634196292321,0.266512224131,0.614522381365,-0.291709133143,0.6828171489,-23.7566773733,112.88522644,-1091.96548665,0.165261094769,504443,4,30,0.194418674172,-0.442168409362,-0.376880476614,-0.790347760953,88.6888023376,-90.6228421529,-961.784667969,0.311552714308,504443,4,30,-0.649630958261,0.7252100256,0.227495766697,-0.0171963069773,-44.803674486,-257.515399087,51.8171345117,0.352670275522,504443,4
3,1786463068869,1.4855667282,0.0338127439053,0.0651133181539,-1.87051981131,0.00460194236366,-1.43938613227,-1.67386618945,-139.826952941,20.0169468842,257.960990129,0.0407123382147,-0.0110769120701,0.999090264156,0.00620093584226,0.278163526678,0.605707115949,-0.307550447747,0.679085167122,-64.8182739258,106.607971954,-1020.06977946,0.150335000952,505370,4,30,0.194392719471,-0.442048675152,-0.376906710821,-0.790408609993,88.7122042338,-90.6253257751,-961.765136719,0.300917371114,505370,4,30,-0.634515999067,0.73974915053,0.223623553137,-0.0123752858999,37.7511818634,-249.347921345,47.6704857464,0.336380553465,505370,4
4,1786463091894,1.53255914511,-0.136787918526,0.0651133181539,-1.87363215708,0.00153398078789,-1.24170219994,-1.523095154,-175.4078971,15.7125009158,227.303726062,0.0296533378428,0.0408378568085,0.998661274154,0.0113405692764,0.234312327659,0.619466784195,-0.333680881152,0.670832099664,-34.3516269684,138.956793213,-1019.68463949,0.152776784201,506753,4,30,0.194263401889,-0.442170854116,-0.376887644601,-0.790381154763,88.7127919515,-90.6062566121,-961.758642578,0.302909737825,506753,4,30,-0.632844695427,0.740509217038,0.216479907907,-0.065499163537,22.7011087204,-250.387535433,89.387963001,0.339256621248,506753,4
5,1786463113040,2.08888872598,-0.238226150242,0.0488349886154,-1.98100808635,0.00153398078789,-0.976064415874,-0.950780611286,-164.451115635,-86.5970828845,192.271599332,-0.00330323792548,0.0531657862398,0.99852625269,0.0103831826263,0.215136658895,0.631434657772,-0.321062508579,0.672253937548,9.85016326904,122.638650004,-1122.81179199,0.160519756377,508025,4,30,0.194082332929,-0.442160760833,-0.376689755288,-0.790525608621,88.6583305359,-90.601083374,-961.810337321,0.301591466864,508025,4,30,-0.647934399379,0.724714606479,0.220648169351,-0.079272559054,-88.43800311,-255.348618718,67.6696538338,0.341648950053,508025,4
6,1786463137963,1.96003855057,-0.364255468435,0.0488349886154,-1.83161548911,0.00306796157577,-1.0718175706,-1.04155092854,-195.149638069,-74.1907346113,187.440908917,0.0322106699588,0.0656763675725,0.997082202249,0.0218213070762,0.220064400745,0.617544703803,-0.354176847925,0.666910007965,14.3101789474,153.525243123,-1108.40890706,0.147359447181,509522,4,30,0.194033300125,-0.442179877093,-0.376652416852,-0.790544743589,88.6338869731,-90.5832995097,-961.815869141,0.311344533165,509522,4,30,-0.62418665479,0.748318198278,0.207468219942,-0.0858360752945,-77.8276108323,-266.168645121,98.4866908531,0.344456419603,509522,4
7,1786463161237,1.83573602842,-0.544077788295,0.0488349886154,-1.88608154019,0.00153398078789,-0.812357409414,-1.17078324464,-222.021378268,-52.1498337579,136.690624214,0.0219407560658,0.0660670572557,0.997475738244,0.013996384673,0.213938475445,0.625786406127,-0.346460387397,0.665272051567,63.3330359141,180.781719462,-1081.09868978,0.16609300375,510920,4,30,0.193867248081,-0.442219606388,-0.376683763075,-0.790548323939,88.6232681274,-90.5608617147,-961.822941081,0.314921263854,510920,4,30,-0.630683057556,0.740418135266,0.213937877846,-0.0908319894326,-80.0933568182,-240.707639077,155.364034179,0.356036919886,510920,4
8,1786463182196,1.43857431129,-0.425733184626,0.10950876235,-1.97011487614,0.0444854428487,-0.850967552447,-1.48771011507,-206.209459322,35.1155439889,152.800988962,0.0294495129779,0.0820813165163,0.996043610314,0.0171029242515,0.203188064543,0.623149550424,-0.360408052758,0.663705720738,38.2504718781,166.863406372,-991.253175863,0.152793614566,512177,4,30,0.193914856025,-0.442387782678,-0.376719330537,-0.790425596972,88.6791542053,-90.5569124858,-961.764752197,0.300686104099,512177,4,30,-0.62510987378,0.745632397738,0.205594449235,-0.104885154285,8.85556651358,-209.76542717,159.993387983,0.337280331253,512177,4
9,1786463221787,1.18542161373,-0.46876758596,0.116908003049,-1.98100808635,0.0444854428487,-0.72587068902,-1.74925170717,-204.816239513,92.1171053296,140.259638342,-0.00199861358389,0.0760111901377,0.996909722199,0.0197309478377,0.187715243244,0.627173696461,-0.339149616236,0.67556915244,46.3147799174,160.942876689,-960.56180013,0.146758913994,514556,4,30,0.192782167803,-0.442194570528,-0.377569096353,-0.790405323269,90.5377326965,-94.9283269246,-989.936818441,0.29605923295,514556,4,30,-0.647065692025,0.727054262629,0.202481893607,-0.108162711499,55.9144476693,-179.618353448,181.382071159,0.330437964301,514556,4
10,1786463247925,1.52952737628,-0.0860688026681,0.11246845863,-1.98100808635,0.0598252507275,-1.1227829594,-1.523095154,-167.651110413,13.7055653551,219.344366563,-0.000553743613225,0.0192936338871,0.999511269695,0.0245900551619,0.231404150863,0.610560933921,-0.304033406649,0.693708261861,-24.8975779851,126.852429454,-1054.4788859,0.152121874193,516125,4,30,0.192426458517,-0.441520588817,-0.378256805639,-0.790539952628,90.788927714,-95.4854057312,-992.897477214,0.303472210964,516125,4,30,-0.658448333079,0.722408201234,0.205412454739,-0.0487637867016,16.6820200408,-242.45192122,86.8822568525,0.339464942866,516125,4
