point_index,target_tx_mm,target_ty_mm,target_tz_mm,before_tx_mm,before_ty_mm,before_tz_mm,after_tx_mm,after_ty_mm,after_tz_mm,commanded_delta_ndi_mm_x,commanded_delta_ndi_mm_y,commanded_delta_ndi_mm_z,achieved_delta_ndi_mm_x,achieved_delta_ndi_mm_y,achieved_delta_ndi_mm_z,error_mm,orientation_error_deg
0,-6.7301,-270.554,63.4994,4.70092,-241.332,14.1112,-4.4278,-267.136,64.1714,-11.431,-29.2214,49.3882,-9.12872,-25.8035,50.0602,4.17542,3.65934
1,-6.01199,-269.509,66.0533,-4.50768,-267.153,64.1786,-8.97093,-264.579,69.9617,-1.50431,-2.35561,1.87472,-4.46326,2.57371,5.78316,6.95194,3.60758
2,-6.30254,-268.777,66.6694,-8.94218,-264.557,69.9853,-9.06376,-263.796,70.4257,2.63964,-4.21984,-3.31593,-0.121587,0.761131,0.44037,6.82233,3.67459
3,-7.90044,-267.663,67.6494,-9.08181,-263.786,70.4712,-11.2296,-262.518,72.0868,1.18137,-3.87666,-2.8218,-2.14781,1.26765,1.61555,7.56554,3.69945
4,-10.5286,-261.658,66.8905,-11.2002,-262.496,72.0977,-15.5863,-251.513,68.5414,0.671541,0.837951,-5.20713,-4.38614,10.9832,-3.55627,11.4556,3.47365
5,-13.1719,-257.915,67.086,-15.5945,-251.497,68.5498,-17.8236,-247.27,68.6103,2.42262,-6.41751,-1.46378,-2.22911,4.22715,0.0605005,11.7163,3.3994
6,-10.4083,-261.518,66.6358,-17.8567,-247.278,68.6035,-9.82254,-258.456,68.7472,7.44842,-14.2406,-1.96775,8.03417,-11.1783,0.143728,3.76556,3.07954
7,-8.82654,-263.028,66.4978,-9.8305,-258.464,68.7282,-10.5254,-259.177,70.6571,1.00397,-4.56413,-2.23044,-0.694939,-0.713518,1.92886,5.9172,3.05005
8,-8.62896,-268.758,67.7397,-10.555,-259.189,70.6272,-10.3522,-269.205,72.4265,1.92606,-9.56929,-2.88744,0.202782,-10.0169,1.79932,5.01355,2.9774
9,-7.98613,-272.291,67.1596,-10.5094,-269.27,72.3682,-9.87315,-272.459,71.4178,2.52331,-3.02116,-5.20864,0.636297,-3.18888,-0.950469,4.66058,2.8505
10,-3.15983,-270.148,68.2779,-9.96635,-272.472,71.3801,-7.01008,-266.761,72.2285,6.80653,2.3241,-3.10222,2.95627,5.71106,0.8484,6.47328,2.95702
11,-3.2134,-271.644,72.316,-6.86475,-266.672,72.2802,-6.77309,-264.778,75.0963,3.65135,-4.9712,0.0357762,0.091662,1.89429,2.81611,8.21807,3.41903
12,-1.09853,-279.414,72.3518,-6.67815,-264.73,75.104,-3.61703,-280.246,74.246,5.57962,-14.6834,-2.75215,3.06112,-15.5162,-0.857944,3.25952,3.52204
13,-0.590792,-281.101,71.5561,-3.64503,-280.27,74.242,-2.50455,-279.1,74.1655,3.05424,-0.830803,-2.68586,1.14048,1.16991,-0.0765049,3.80447,3.3032
14,-0.512469,-281.137,73.2369,-2.49527,-279.096,74.163,-2.27626,-281.471,74.5228,1.9828,-2.0411,-0.926115,0.21901,-2.37545,0.359787,2.20823,2.97404
15,-15.1995,-281.823,69.5286,-2.36536,-281.507,74.4929,-17.6906,-281.444,71.8796,-12.8341,-0.315732,-4.96435,-15.3252,0.0631703,-2.61335,3.44619,1.89253
16,-16.9755,-282.953,72.2005,-17.7498,-281.515,71.8857,-19.1674,-280.561,76.759,0.774336,-1.43778,0.314766,-1.41759,0.954525,4.87328,5.59533,2.65134
17,-15.5482,-280.33,82.0242,-19.1326,-280.554,76.7829,-17.707,-278.044,89.3199,3.58438,0.223244,5.24128,1.42558,2.51001,12.537,7.94459,2.62734
18,-17.1258,-273.8,77.9906,-17.6983,-278.05,89.3295,-18.7448,-271.495,83.3406,0.572496,4.25025,-11.3388,-1.04653,6.55515,-5.98887,6.04612,2.68509
19,-19.0811,-266.56,73.5317,-18.7333,-271.496,83.345,-21.507,-259.888,77.9013,-0.34776,4.93623,-9.81321,-2.77369,11.6077,-5.44366,8.33589,3.50231
20,-20.8705,-261.062,74.4432,-21.532,-259.889,77.8797,-23.5377,-252.423,77.0393,0.661539,-1.17352,-3.43645,-2.00574,7.46586,-0.84035,9.40708,3.48568
21,-21.1292,-261.587,73.9149,-23.5671,-252.41,77.0231,-24.7702,-256.118,76.1223,2.43795,-9.17699,-3.10813,-1.20309,-3.70775,-0.900757,6.93126,3.88248
22,-19.4761,-261.936,73.4663,-24.782,-256.107,76.1042,-22.3685,-255.951,75.3078,5.30589,-5.8287,-2.63783,2.41354,0.156002,-0.796327,6.89735,4.02739
23,-16.1997,-261.051,74.3559,-22.3664,-256.02,75.297,-20.4766,-255.767,75.988,6.16678,-5.0307,-0.941099,1.88988,0.253273,0.691049,6.99114,3.85158
