capture_id,timestamp_ms,shoulder_roll_joint_rad,shoulder_pitch_joint_rad,shoulder_yaw_joint_rad,elbow_pitch_joint_rad,elbow_yaw_joint_rad,wrist_pitch_joint_rad,wrist_roll_joint_rad,moveit_pose_x_mm,moveit_pose_y_mm,moveit_pose_z_mm,moveit_pose_qw,moveit_pose_qx,moveit_pose_qy,moveit_pose_qz,moving_camera_q0,moving_camera_qx,moving_camera_qy,moving_camera_qz,moving_camera_tx_mm,moving_camera_ty_mm,moving_camera_tz_mm,moving_camera_error,moving_camera_frame,moving_camera_visible_markers,moving_accepted_samples,fixed_camera_q0,fixed_camera_qx,fixed_camera_qy,fixed_camera_qz,fixed_camera_tx_mm,fixed_camera_ty_mm,fixed_camera_tz_mm,fixed_camera_error,fixed_camera_frame,fixed_camera_visible_markers,fixed_accepted_samples,moving_relative_fixed_q0,moving_relative_fixed_qx,moving_relative_fixed_qy,moving_relative_fixed_qz,moving_relative_fixed_tx_mm,moving_relative_fixed_ty_mm,moving_relative_fixed_tz_mm,moving_relative_fixed_error,moving_relative_fixed_frame,moving_relative_fixed_visible_markers
1,1786635922084,1.74781473226,-0.0922165742872,0.0710327107134,-1.85495808243,0.00920388472731,-1.27722353153,-1.32309276004,-168.494490681,-22.8854936309,239.202845684,0.0120720590774,0.0301391458885,0.999299903262,0.0185903366276,0.217520758584,0.627502981156,-0.318942866368,0.676165790482,-43.1391379038,138.06875,-1050.04710286,0.152082049847,757039,4,30,0.199563287028,-0.446146018743,-0.358883350079,-0.795192407827,89.8942001343,-88.7732185364,-959.926615397,0.298449470599,757039,4,30,-0.65976741787,0.718558167939,0.211732222836,-0.0595867386041,-6.7300992131,-270.553837687,63.4994224992,0.334964231503,757039,4
2,1786635955232,1.7053699686,-0.0845318597633,-0.0221977220979,-1.86118277398,0.0122718463031,-1.2602350686,-1.35540083907,-169.724572601,-21.2060753474,238.990477175,0.0102329865321,0.0356088168203,0.998885881328,-0.0292283122289,0.223270176134,0.66259152575,-0.309990493845,0.644227283014,-41.3668493907,139.341897074,-1048.06767171,0.161019818981,759031,4,30,0.199537605969,-0.446307190922,-0.358803049886,-0.795144645035,89.9088127136,-88.7499483744,-959.891731771,0.297569135825,759031,4,30,-0.652196905803,0.709497007069,0.257588093679,-0.0700111920865,-6.01198509058,-269.508818255,66.0533021411,0.338341207512,759031,4
3,1786635976875,1.68111581793,-0.0783840881441,-0.0769521032728,-1.86740746553,0.0199417502425,-1.25251303999,-1.36770867869,-169.615789292,-20.7448000425,239.077393389,0.00938814753922,0.0399191043693,0.997407638492,-0.059129776504,0.2263431763,0.68329388461,-0.304571273645,0.623790488118,-40.3767763774,139.349922689,-1047.76625163,0.169523826241,760330,4,30,0.199511092849,-0.446421362673,-0.358757606347,-0.795107710104,89.9158421834,-88.7343833923,-959.864416504,0.298367681106,760330,4,30,-0.646592378109,0.703325689182,0.285255824679,-0.0766836748867,-6.30253548425,-268.776522563,66.6693986418,0.343164101841,760330,4
4,1786635995723,1.64321870752,-0.0753102023346,-0.159823599105,-1.87830067575,0.0352815581214,-1.24479101138,-1.39847827776,-169.579903151,-20.733228867,238.752065377,0.00981356207259,0.0389675805784,0.99381815373,-0.103492506877,0.236822456476,0.711416648418,-0.293191685292,0.593161118195,-38.2229793549,139.404238892,-1048.27239176,0.156954900424,761464,4,30,0.199469169874,-0.446584335458,-0.358653392606,-0.795073723353,89.9368095398,-88.7075360616,-959.829105632,0.300799620152,761464,4,30,-0.636921378543,0.693515139925,0.327186695106,-0.0794781403576,-7.90043894802,-267.662596675,67.649431848,0.339286386774,761464,4
5,1786636015833,1.64321870752,-0.142935690145,-0.171662384224,-1.81760993312,0.0475534044245,-1.37760990342,-1.39847827776,-167.261584788,-20.6869100763,237.96820957,0.0796246837112,0.0296980900681,0.990790954316,-0.105409762528,0.287082311631,0.690843146149,-0.333374907039,0.573742681979,-33.3650880178,134.95944519,-1048.29412028,0.161446424822,762670,4,30,0.199361509938,-0.446930913538,-0.358484125278,-0.794982313516,89.961794281,-88.6571339925,-959.772210693,0.302014479041,762670,4,30,-0.588131668039,0.736738290895,0.329237068135,-0.0540442850399,-10.5286331506,-261.657841304,66.8905436346,0.342458309343,762670,4
6,1786636032898,1.65231401402,-0.235152264432,-0.193860106322,-1.73202042428,0.0582912699397,-1.53668369271,-1.39847827776,-168.122341179,-20.3319382494,238.468116972,0.161218640311,0.0167891542213,0.980715110694,-0.109199569477,0.346803932001,0.663578834865,-0.375962885302,0.54593229575,-29.3743830363,132.790865072,-1048.76315104,0.150312015414,763696,4,30,0.199247038404,-0.447544717618,-0.358168834909,-0.794807793822,89.9985570272,-88.5814331055,-959.665553792,0.297415727377,763696,4,30,-0.527134600873,0.781780551144,0.332393383447,-0.0215156003115,-13.1719106832,-257.914612039,67.0859800627,0.333241379287,763696,4
7,1786636050614,1.69324289327,-0.242836978956,-0.00295969627972,-1.7164586954,0.0567572891518,-1.55212774993,-1.39540131786,-168.484097498,-20.8439038249,238.719043614,0.160526587886,-0.00736459566509,0.986956145362,-0.00972339672037,0.339756354176,0.591435670658,-0.385612809745,0.621347107687,-33.3964745839,134.772994995,-1048.10163981,0.144100770354,764761,4,30,0.199275854481,-0.447086308696,-0.358289709537,-0.795004056868,89.9742406209,-88.6302762349,-959.72130127,0.305279974143,764761,4,30,-0.552529922769,0.798945285748,0.237285856045,0.00961963338576,-10.4082865474,-261.518225572,66.6357597072,0.337580945299,764761,4
8,1786636068944,1.7144652751,-0.252058636385,0.11246845863,-1.71334634963,0.0521553467881,-1.56139418425,-1.39540131786,-168.941755337,-20.6954791008,238.423362099,0.160555255807,-0.0201038302123,0.985526616455,0.0505483343159,0.333697840742,0.545100967441,-0.392055072235,0.6616672175,-35.3087309519,135.604530334,-1047.47797038,0.144134892523,765862,4,30,0.199294594355,-0.446884510722,-0.35839767661,-0.795064150958,89.9460484823,-88.6695859273,-959.751857503,0.301977401972,765862,4,30,-0.562649260828,0.806608999054,0.179163481336,0.0266116307549,-8.82653536798,-263.027838594,66.4978065367,0.33461204184,765862,4
9,1786636086290,1.72204469718,-0.201339520527,0.125787091888,-1.74913832605,0.053689327576,-1.46409662381,-1.39232435795,-171.179109082,-21.5905190994,238.829418491,0.105223840829,-0.0205810033723,0.992945614757,0.0506297516816,0.30185321119,0.563968790312,-0.355911255607,0.681286298542,-38.4228673299,140.262749736,-1049.2019694,0.146321346362,766903,4,30,0.199372699063,-0.446690610102,-0.358504423356,-0.795105404427,89.9297818502,-88.7005477905,-959.78546346,0.299348075191,766903,4,30,-0.605836932063,0.774506089408,0.181347164514,0.0146674858653,-8.62895614409,-268.75783662,67.7397377569,0.333195447931,766903,4
10,1786636107053,1.72962411926,-0.142935690145,0.137625877007,-1.80204820424,0.0521553467881,-1.36371025193,-1.3938628379,-171.291910448,-21.7446218721,239.234264012,0.0520098983411,-0.0217945717256,0.997173429853,0.0496499537986,0.271308574404,0.580413354965,-0.319902384737,0.697978838556,-41.40922966,142.08441925,-1050.34105225,0.14324054718,768151,4,30,0.199471760041,-0.446430694328,-0.358638256627,-0.795166179481,89.9203618368,-88.7355161031,-959.83474528,0.297260962923,768151,4,30,-0.645275871065,0.741594019615,0.183416034872,0.00398979248462,-7.98613213736,-272.291213921,67.1596030004,0.329972626796,768151,4
11,1786636123767,1.70385408418,-0.136787918526,0.142065421427,-1.8067167229,0.0521553467881,-1.3621658462,-1.4138630773,-170.539290425,-16.6628950425,239.130131163,0.0529743400294,-0.0193216005875,0.997134640211,0.0504272182565,0.26939910796,0.580548905648,-0.321858309655,0.697706469288,-41.9334234873,141.518570964,-1044.9813151,0.140753038724,769153,4,30,0.199484371644,-0.446424888173,-0.358623185255,-0.795173072788,89.9160232544,-88.7337056478,-959.827563477,0.29723799328,769153,4,30,-0.644802113389,0.742223677777,0.182570388221,0.00151659546644,-3.15982602448,-270.147536535,68.2779093894,0.328879677936,769153,4
12,1786636140467,1.69779054651,-0.158305119193,0.143545269567,-1.79115499402,0.0521553467881,-1.36371025193,-1.41694003721,-174.736369471,-16.3899956491,238.020981893,0.0553954599702,-0.0193240102528,0.996984652392,0.050789059233,0.270507461957,0.57884267241,-0.32410495952,0.697655250706,-40.5163661957,145.557912699,-1044.23696696,0.141813240449,770158,4,30,0.199406891099,-0.446419858957,-0.358613974104,-0.795199483708,89.9301150004,-88.7238011678,-959.821854655,0.30350181361,770158,4,30,-0.643012339774,0.744102139242,0.181227229217,0.00195669723942,-3.21340189268,-271.64350013,72.3159731992,0.334999023926,770158,4
13,1786636162408,1.74175119459,-0.10604906043,0.248614487497,-1.84873339088,0.0337475773335,-1.24015779422,-1.40924763744,-177.300008307,-16.0897009158,238.996971843,-0.0129836585768,-0.0305921942373,0.994529143468,0.0990319395649,0.22394497312,0.559035043088,-0.281471254526,0.747062515784,-46.6551419576,150.607929993,-1045.6594279,0.14136578987,771475,4,30,0.199495477307,-0.446045106972,-0.358836630074,-0.795287111676,89.9041577657,-88.7770477295,-959.901924642,0.298395818472,771475,4,30,-0.697805830274,0.703338378894,0.135577202182,0.000985017222844,-1.09853414564,-279.413606576,72.3518413552,0.330188356892,771475,4
14,1786636179507,1.75084650109,-0.0768471452394,0.254533880056,-1.88296919441,0.0337475773335,-1.18147037681,-1.40770915749,-177.093594936,-16.0296072195,238.685876496,-0.0397161857637,-0.033556618929,0.993773144834,0.0985470168036,0.207713195444,0.565816746948,-0.260559542188,0.754198489979,-48.4967651367,151.075078328,-1046.22449951,0.144311506053,772501,4,30,0.199550672513,-0.445920111112,-0.358920067895,-0.795305707554,89.8945531209,-88.7983838399,-959.929221598,0.298925619324,772501,4,30,-0.717158073963,0.683454067854,0.136242616163,-0.00357541948013,-0.590792341607,-281.100843686,71.5561070432,0.331937248087,772501,4
15,1786636212839,1.75994180759,-0.0138324861431,0.291530083553,-1.98100808635,0.0598252507275,-0.999230501694,-1.39232435795,-179.048178005,-15.0828498108,235.255609519,-0.112689344388,-0.0392082650897,0.987819852836,0.0998787362364,0.166011859357,0.578266820375,-0.210728095091,0.770481159371,-47.7369350433,152.225514221,-1045.73460286,0.156980141501,774505,4,30,0.199699848505,-0.445557884318,-0.359114271994,-0.795383606745,89.8682548523,-88.8449190776,-959.992449951,0.296373791496,774505,4,30,-0.761651414907,0.6337481422,0.134184853324,-0.0156473501725,-0.512469254253,-281.136884785,73.2369324321,0.335380662995,774505,4
16,1786636246853,1.83725191284,-0.0353496868101,0.312247957511,-1.98100808635,0.0690291354549,-1.00077490742,-1.28924620106,-177.117248722,-29.0726945719,231.541824991,-0.111448244904,-0.0326046724664,0.988150707164,0.100371330433,0.16384098429,0.578660221377,-0.215491355256,0.769332149252,-42.6527178446,149.79233551,-1059.90745443,0.151752020419,776548,4,30,0.199768040269,-0.445310917492,-0.359234381553,-0.795450549035,89.8443921407,-88.8726687113,-960.043792725,0.29833236138,776548,4,30,-0.759507298528,0.636341273139,0.133512614489,-0.0198199231961,-15.1994912487,-281.822594973,69.5285534979,0.33471013362,776548,4
17,1786636261652,1.79177538034,-0.0261280293814,0.193860106322,-1.98100808635,0.0705631162427,-0.979153227317,-1.3477084393,-179.401735996,-30.1072882849,232.002843575,-0.111910498214,-0.0335359452371,0.99216052138,0.0443720698384,0.178359325492,0.620148462708,-0.203183121353,0.736424099557,-40.9013398488,152.583213806,-1060.88531087,0.139410203695,777436,4,30,0.199739440204,-0.445429034009,-0.359167910466,-0.79542161385,89.8567110697,-88.853499349,-960.017834473,0.297643394272,777436,4,30,-0.753397527467,0.629430680194,0.188732079078,-0.0242772890744,-16.9755089995,-282.953221583,72.2004752353,0.328674299342,777436,4
18,1786636302025,1.6689887426,-0.0368866297149,-0.173142232364,-1.98100808635,0.00306796157577,-0.980697633038,-1.58155739224,-183.20746687,-24.2203433411,229.912729062,-0.0968715058718,-0.0353743196308,0.98927113604,-0.103475544253,0.220834861174,0.71923091653,-0.175217192935,0.635010069288,-34.1796333313,158.465987142,-1054.98589274,0.141362172862,779860,4,30,0.199446505748,-0.446180082182,-0.358861588532,-0.795212415576,89.9288897196,-88.7251731873,-959.862821452,0.302689555287,779860,4,30,-0.718950938956,0.609195819077,0.332915201795,-0.0340216079389,-15.5481931601,-280.330294375,82.0242261477,0.334072193989,779860,4
