point_index,target_tx_mm,target_ty_mm,target_tz_mm,before_tx_mm,before_ty_mm,before_tz_mm,after_tx_mm,after_ty_mm,after_tz_mm,commanded_delta_ndi_mm_x,commanded_delta_ndi_mm_y,commanded_delta_ndi_mm_z,achieved_delta_ndi_mm_x,achieved_delta_ndi_mm_y,achieved_delta_ndi_mm_z,error_mm
0,-3.52421,-266.706,67.3051,-3.21056,-267.927,74.3587,-5.87875,-265.111,72.0625,-0.313646,1.22069,-7.05368,-2.66819,2.81513,-2.29619,5.54254
1,-5.08152,-264.798,68.9319,-5.86466,-265.11,72.0356,-6.79576,-263.043,72.6078,0.783137,0.311287,-3.10367,-0.931101,2.06657,0.572217,4.41947
2,-1.20956,-271.959,67.8799,-6.77939,-263.042,72.6035,-3.69446,-267.704,69.7307,5.56983,-8.91606,-4.72364,3.08493,-4.66196,-2.87281,5.26286
3,3.19364,-282.402,66.8255,-3.70165,-267.696,69.7119,0.0263519,-277.581,69.4242,6.8953,-14.7059,-2.88641,3.72801,-9.88544,-0.287668,6.3263
4,3.80876,-287.964,63.1365,0.0429003,-277.542,69.3671,1.6382,-283.694,66.0499,3.76586,-10.4223,-6.23058,1.5953,-6.1523,-3.31722,5.60642
5,4.14625,-287.171,60.0865,1.43484,-283.768,65.9728,1.09776,-282.275,64.4371,2.71141,-3.4023,-5.88631,-0.33708,1.49328,-1.53567,7.22413
6,1.31073,-259.914,62.4315,1.09397,-282.279,64.4299,-0.221572,-257.757,64.4914,0.216757,22.3655,-1.99842,-1.31554,24.5218,0.0615179,3.35276
7,-0.210648,-258.064,65.1687,-0.109677,-257.708,64.5304,-1.24765,-256.521,66.4059,-0.100971,-0.356243,0.638332,-1.13797,1.18659,1.87548,2.23299
8,-2.30234,-257.92,66.3059,-1.26659,-256.529,66.4056,-3.31945,-255.652,68.0967,-1.03575,-1.39138,-0.0997403,-2.05286,0.876399,1.69115,3.06343
9,-7.64918,-268.929,63.5515,-3.36854,-255.672,68.0832,-10.5942,-264.607,65.9171,-4.28064,-13.2562,-4.53174,-7.22564,-8.93448,-2.16613,5.73992
10,12.3796,-256.403,70.1123,-10.5907,-264.6,65.8791,10.5773,-253.776,74.269,22.9702,8.19665,4.23322,21.168,10.8244,8.38992,5.23753
11,12.3965,-256.377,70.1152,10.5959,-253.763,74.2756,10.1312,-251.969,73.8797,1.80061,-2.61338,-4.16043,-0.464671,1.79415,-0.395879,6.22332
